Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,QualityOfCare,Risk
0,340461476,HappyBirthday,21,3650.45,F,0,0,Bad,LOW
0,340461476,HappyBirthday,129,61320.7,F,0,0,Bad,HIGH
0,340461476,HappyBirthday,439,28105.3,F,0,0,Good,LOW
0,340461476,HappyBirthday,668,9855.02,F,0,0,OK,LOW
0,340461476,HappyBirthday,700,6205.77,M,0,0,OK,HIGH
0,340461476,HappyBirthday,852,10585.7,F,0,0,Bad,LOW
0,340461476,HappyBirthday,864,4745.44,M,0,0,Good,HIGH
0,340461476,HappyBirthday,900,2190.62,F,0,0,Bad,LOW
0,340461476,HappyBirthday,974,4380.38,M,0,0,Bad,LOW
1,340461476,HappyBirthday,134,7665.73,M,0,0,Good,LOW
1,340461476,HappyBirthday,691,730.857,F,0,0,Bad,LOW
1,340461476,HappyBirthday,949,8760.3,M,0,0,Bad,LOW
2,340461476,HappyBirthday,985,12775.5,F,0,0,Bad,LOW
3,340461476,HappyBirthday,507,4745.19,F,1,0,OK,LOW
3,340461476,HappyBirthday,920,29930.7,M,0,0,OK,LOW
5,340461476,HappyBirthday,355,14600.8,F,0,0,Bad,LOW
5,340461476,HappyBirthday,489,13870.8,M,0,0,Bad,LOW
5,340461476,HappyBirthday,753,1825.03,F,0,0,Bad,LOW
5,340461476,HappyBirthday,763,6205.92,F,0,0,Good,LOW
6,340461476,HappyBirthday,608,7300.22,M,0,0,OK,LOW
7,340461476,HappyBirthday,184,7300.41,M,0,0,Good,LOW
7,340461476,HappyBirthday,470,6205.99,F,0,0,Bad,LOW
8,340461476,HappyBirthday,112,365.842,M,0,0,OK,LOW
8,340461476,HappyBirthday,495,2555.56,M,1,0,Bad,LOW
8,340461476,HappyBirthday,522,3285.89,M,1,0.3,OK,HIGH
9,340461476,HappyBirthday,475,14236,M,1,0,OK,LOW
9,340461476,HappyBirthday,678,4015.45,F,0,0,OK,LOW
9,340461476,HappyBirthday,821,7300.99,M,0,0,Bad,LOW
10,340461476,HappyBirthday,4,4745.33,F,0,0,Bad,LOW
10,340461476,HappyBirthday,33,5110.81,F,0,0,OK,LOW
10,340461476,HappyBirthday,331,11315.7,M,0,0,Bad,LOW
10,340461476,HappyBirthday,357,2920.7,M,0,0,Good,HIGH
10,340461476,HappyBirthday,477,4015.16,F,0,0,Bad,LOW
10,340461476,HappyBirthday,690,4380.67,F,0,0,OK,HIGH
10,340461476,HappyBirthday,915,8030.48,F,0,0,OK,LOW
11,340461476,HappyBirthday,423,1460.86,F,0,0,Bad,LOW
11,340461476,HappyBirthday,514,24090.3,M,0,0,Bad,HIGH
12,340461476,HappyBirthday,286,5840.23,F,0,0,OK,LOW
12,340461476,HappyBirthday,592,15330.2,F,0,0,Good,LOW
13,340461476,HappyBirthday,90,7300.34,F,0,0,Bad,LOW
13,340461476,HappyBirthday,261,14235.1,M,0,0,OK,LOW
13,340461476,HappyBirthday,850,4015.5,M,0,0,Bad,LOW
14,340461476,HappyBirthday,321,11315.8,M,0,0,Bad,LOW
14,340461476,HappyBirthday,434,4380.97,F,1,0,Bad,LOW
14,340461476,HappyBirthday,533,1095.3,F,0,0,Good,LOW
14,340461476,HappyBirthday,897,6935.35,F,0,0,Bad,HIGH
14,340461476,HappyBirthday,995,14600.4,M,0,0,Good,LOW
16,340461476,HappyBirthday,315,28105.7,F,0,0,Bad,LOW
16,340461476,HappyBirthday,381,8760.78,M,0,0,Bad,LOW
