Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
0,2,M,40,89,0
0,2,M,80,77,0
0,2,M,125,84,0
0,2,F,40,86,0
0,2,F,80,84,0
0,2,F,125,80,0
0,1,M,40,87,0
0,1,M,80,92,0
0,1,M,125,81,0
0,1,F,40,69,0
0,1,F,80,75,0
0,1,F,125,96,0
1,2,M,40,94,0
1,2,M,80,77,0
1,2,M,125,75,0
1,2,F,40,83,0
1,2,F,80,85,0
1,2,F,125,85,0
1,1,M,40,82,0
1,1,M,80,92,0
1,1,M,125,90,0
1,1,F,40,72,0
1,1,F,80,74,0
1,1,F,125,91,0
2,2,M,40,96,0
2,2,M,80,75,0
2,2,M,125,72,0
2,2,F,40,81,0
2,2,F,80,86,0
2,2,F,125,84,0
2,1,M,40,80,0
2,1,M,80,94,0
2,1,M,125,93,0
2,1,F,40,74,0
2,1,F,80,73,0
2,1,F,125,92,0
3,2,M,40,92,0
3,2,M,80,70,0
3,2,M,125,79,0
3,2,F,40,79,0
3,2,F,80,87,0
3,2,F,125,89,0
3,1,M,40,84,0
3,1,M,80,99,0
3,1,M,125,86,0
3,1,F,40,76,0
3,1,F,80,72,0
3,1,F,125,87,0
4,2,M,40,85,0
4,2,M,80,78,0
4,2,M,125,77,0
4,2,F,40,84,0
4,2,F,80,87,0
4,2,F,125,87,0
4,1,M,40,91,0
4,1,M,80,91,0
4,1,M,125,88,0
4,1,F,40,71,0
4,1,F,80,72,0
4,1,F,125,89,0
5,2,M,40,82,0
5,2,M,80,83,0
5,2,M,125,78,0
5,2,F,40,82,0
5,2,F,80,81,0
5,2,F,125,90,0
5,1,M,40,93,0
5,1,M,80,87,0
5,1,M,125,87,0
5,1,F,40,73,0
5,1,F,80,78,0
5,1,F,125,86,0
6,2,M,40,80,0
6,2,M,80,75,0
6,2,M,125,75,0
6,2,F,40,81,0
6,2,F,80,82,0
6,2,F,125,92,0
6,1,M,40,95,0
6,1,M,80,95,0
6,1,M,125,90,0
6,1,F,40,74,0
6,1,F,80,77,0
6,1,F,125,84,0
7,2,M,40,86,0
7,2,M,80,82,0
7,2,M,125,70,0
7,2,F,40,82,0
7,2,F,80,78,0
7,2,F,125,91,0
7,1,M,40,89,0
7,1,M,80,88,0
7,1,M,125,95,0
7,1,F,40,73,0
7,1,F,80,81,0
7,1,F,125,85,0
8,2,M,40,76,0
8,2,M,80,81,0
8,2,M,125,68,0
8,2,F,40,81,0
8,2,F,80,78,0
8,2,F,125,94,0
8,1,M,40,99,0
8,1,M,80,89,0
8,1,M,125,97,0
8,1,F,40,74,0
8,1,F,80,81,0
8,1,F,125,82,0
9,2,M,40,77,0
9,2,M,80,77,0
9,2,M,125,70,0
9,2,F,40,78,0
9,2,F,80,72,0
9,2,F,125,94,0
9,1,M,40,98,0
9,1,M,80,93,0
9,1,M,125,95,0
9,1,F,40,77,0
9,1,F,80,87,0
9,1,F,125,82,0
10,2,M,40,81,0
10,2,M,80,79,0
10,2,M,125,75,0
10,2,F,40,78,0
10,2,F,80,74,0
10,2,F,125,84,0
10,1,M,40,94,0
10,1,M,80,91,0
10,1,M,125,90,0
10,1,F,40,77,0
10,1,F,80,85,0
10,1,F,125,92,0
11,2,M,40,80,0
11,2,M,80,83,0
11,2,M,125,73,0
11,2,F,40,75,0
11,2,F,80,74,0
11,2,F,125,82,0
11,1,M,40,95,0
11,1,M,80,87,0
11,1,M,125,92,0
11,1,F,40,80,0
11,1,F,80,85,0
11,1,F,125,94,0
12,2,M,40,81,0
12,2,M,80,83,0
12,2,M,125,73,0
12,2,F,40,75,0
12,2,F,80,78,0
12,2,F,125,79,0
12,1,M,40,94,0
12,1,M,80,87,0
12,1,M,125,92,0
12,1,F,40,80,0
12,1,F,80,81,0
12,1,F,125,97,0
13,2,M,40,82,0
13,2,M,80,88,0
13,2,M,125,82,0
13,2,F,40,75,0
13,2,F,80,74,0
13,2,F,125,80,0
13,1,M,40,93,0
13,1,M,80,82,0
13,1,M,125,83,0
13,1,F,40,80,0
13,1,F,80,85,0
13,1,F,125,96,0
14,2,M,40,85,0
14,2,M,80,92,0
14,2,M,125,80,0
14,2,F,40,74,0
14,2,F,80,73,0
14,2,F,125,81,0
14,1,M,40,90,0
14,1,M,80,78,0
14,1,M,125,85,0
14,1,F,40,81,0
14,1,F,80,86,0
14,1,F,125,95,0
15,2,M,40,78,0
15,2,M,80,93,0
15,2,M,125,82,0
15,2,F,40,78,0
15,2,F,80,67,0
15,2,F,125,87,0
15,1,M,40,97,0
15,1,M,80,77,0
15,1,M,125,83,0
15,1,F,40,77,0
15,1,F,80,92,0
15,1,F,125,89,0
16,2,M,40,80,0
16,2,M,80,92,0
16,2,M,125,82,0
16,2,F,40,79,0
16,2,F,80,67,0
16,2,F,125,85,0
16,1,M,40,95,0
16,1,M,80,78,0
16,1,M,125,83,0
16,1,F,40,76,0
16,1,F,80,91,0
16,1,F,125,92,0
17,2,M,40,81,0
17,2,M,80,90,0
17,2,M,125,89,0
17,2,F,40,79,0
17,2,F,80,68,0
17,2,F,125,88,0
17,1,M,40,94,0
17,1,M,80,80,0
17,1,M,125,76,0
17,1,F,40,76,0
17,1,F,80,90,0
17,1,F,125,89,0
18,2,M,40,86,0
18,2,M,80,93,0
18,2,M,125,87,0
18,2,F,40,76,0
18,2,F,80,63,0
