Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
0,100,1000,56,SPRAYED_B,RURAL,LOW
0,99,990,49,NONE,RURAL,MED
0,98,980,52,NONE,RURAL,LOW
0,97,970,44,SPRAYED_B,URBAN,LOW
0,96,960,40,NONE,RURAL,LOW
0,95,950,44,NONE,RURAL,LOW
0,94,940,38,SPRAYED_B,RURAL,LOW
0,93,930,32,NONE,URBAN,LOW
0,92,920,44,SPRAYED_B,URBAN,LOW
0,91,910,35,SPRAYED_B,URBAN,MED
0,90,900,48,NONE,URBAN,LOW
0,89,890,50,SPRAYED_B,RURAL,LOW
0,88,880,46,SPRAYED_A,RURAL,LOW
0,87,870,39,NONE,RURAL,LOW
0,86,860,44,SPRAYED_A,RURAL,LOW
0,85,850,55,SPRAYED_A,RURAL,LOW
0,84,840,50,NONE,RURAL,MED
0,83,830,32,NONE,RURAL,LOW
0,82,820,42,FENCE_AND_TRAP,URBAN,LOW
0,81,810,39,SPRAYED_A,RURAL,LOW
0,80,800,44,SPRAYED_B,RURAL,LOW
0,79,790,41,NONE,RURAL,MED
0,78,780,42,SPRAYED_B,URBAN,HIGH
0,77,770,42,NONE,RURAL,HIGH
0,76,760,38,NONE,RURAL,LOW
0,75,750,33,NONE,URBAN,LOW
0,74,740,38,NONE,RURAL,LOW
0,73,730,29,NONE,URBAN,LOW
0,72,720,35,NONE,RURAL,LOW
0,71,710,32,NONE,RURAL,MED
0,70,700,32,NONE,URBAN,LOW
0,69,690,25,NONE,URBAN,LOW
0,68,680,41,NONE,URBAN,LOW
0,67,670,31,NONE,RURAL,LOW
0,66,660,32,SPRAYED_B,RURAL,LOW
0,65,650,29,SPRAYED_B,RURAL,LOW
0,64,640,29,NONE,URBAN,LOW
0,63,630,31,SPRAYED_B,RURAL,HIGH
0,62,620,26,SPRAYED_B,URBAN,MED
0,61,610,31,NONE,URBAN,HIGH
0,60,600,23,SPRAYED_A,RURAL,LOW
0,59,590,38,SPRAYED_A,RURAL,LOW
0,58,580,22,FENCE_AND_TRAP,RURAL,LOW
0,57,570,21,SPRAYED_B,URBAN,LOW
0,56,560,29,SPRAYED_B,RURAL,LOW
0,55,550,23,NONE,RURAL,LOW
0,54,540,26,SPRAYED_B,RURAL,HIGH
0,53,530,29,NONE,URBAN,LOW
0,52,520,21,SPRAYED_B,URBAN,LOW
0,51,510,30,NONE,RURAL,HIGH
0,50,500,18,NONE,RURAL,LOW
0,49,490,27,SPRAYED_B,RURAL,MED
0,48,480,19,SPRAYED_A,RURAL,LOW
0,47,470,16,SPRAYED_B,URBAN,HIGH
0,46,460,24,SPRAYED_B,RURAL,LOW
0,45,450,27,SPRAYED_A,RURAL,MED
0,44,440,19,SPRAYED_B,RURAL,HIGH
0,43,430,24,SPRAYED_A,URBAN,LOW
0,42,420,16,SPRAYED_B,URBAN,LOW
0,41,410,23,NONE,URBAN,MED
0,40,400,19,FENCE_AND_TRAP,RURAL,LOW
0,39,390,22,FENCE_AND_TRAP,URBAN,LOW
0,38,380,19,SPRAYED_A,URBAN,LOW
0,37,370,21,NONE,RURAL,LOW
0,36,360,17,SPRAYED_B,RURAL,LOW
0,35,350,17,SPRAYED_B,URBAN,LOW
0,34,340,14,NONE,RURAL,LOW
0,33,330,15,NONE,URBAN,MED
0,32,320,10,NONE,URBAN,HIGH
0,31,310,11,SPRAYED_A,URBAN,LOW
0,30,300,17,SPRAYED_B,RURAL,LOW
0,29,290,22,FENCE_AND_TRAP,RURAL,LOW
0,28,280,15,SPRAYED_B,URBAN,MED
0,27,270,12,SPRAYED_A,URBAN,MED
0,26,260,14,NONE,RURAL,MED
0,25,250,11,NONE,RURAL,HIGH
0,24,240,12,FENCE_AND_TRAP,RURAL,LOW
0,23,230,11,SPRAYED_A,URBAN,HIGH
0,22,220,15,SPRAYED_B,RURAL,LOW
0,21,210,9,NONE,RURAL,LOW
0,20,200,10,NONE,URBAN,LOW
0,19,190,10,NONE,URBAN,LOW
0,18,180,7,SPRAYED_A,URBAN,LOW
0,17,170,8,NONE,RURAL,LOW
0,16,160,7,SPRAYED_A,RURAL,LOW
0,15,150,8,FENCE_AND_TRAP,RURAL,MED
0,14,140,10,NONE,RURAL,LOW
0,13,130,1,NONE,RURAL,LOW
0,12,120,6,SPRAYED_A,URBAN,LOW
0,11,110,10,NONE,RURAL,MED
0,10,100,3,NONE,RURAL,LOW
0,9,90,4,FENCE_AND_TRAP,RURAL,MED
0,8,80,2,NONE,URBAN,LOW
0,7,70,2,NONE,RURAL,LOW
0,6,60,1,NONE,RURAL,LOW
0,5,50,2,SPRAYED_B,RURAL,MED
0,4,40,3,SPRAYED_B,URBAN,LOW
0,3,30,3,NONE,RURAL,MED
0,2,20,2,SPRAYED_A,RURAL,LOW
0,1,10,1,NONE,RURAL,HIGH
1,100,1000,55,SPRAYED_B,RURAL,LOW
1,99,990,53,NONE,RURAL,MED
1,98,980,59,NONE,RURAL,LOW
1,97,970,47,SPRAYED_B,URBAN,LOW
1,96,960,42,NONE,RURAL,LOW
1,95,950,48,NONE,RURAL,LOW
1,94,940,43,SPRAYED_B,RURAL,LOW
1,93,930,39,NONE,URBAN,LOW
1,92,920,50,SPRAYED_B,URBAN,LOW
1,91,910,36,SPRAYED_B,URBAN,MED
1,90,900,50,NONE,URBAN,LOW
1,89,890,57,SPRAYED_B,RURAL,LOW
1,88,880,48,SPRAYED_A,RURAL,LOW
1,87,870,42,NONE,RURAL,LOW
1,86,860,49,SPRAYED_A,RURAL,LOW
1,85,850,61,SPRAYED_A,RURAL,LOW
1,84,840,50,NONE,RURAL,MED
1,83,830,33,NONE,RURAL,LOW
1,82,820,42,FENCE_AND_TRAP,URBAN,LOW
