Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties,A_CD4_count,B_CD4_count,A_viral_load,B_viral_load,A_HIV_disease_stage,B_HIV_disease_stage,A_STI_CoInfection,B_STI_CoInfection,A_HIV_Tested_Positive,B_HIV_Tested_Positive,A_HIV_Received_Results,B_HIV_Received_Results
1,29,518.496,0,1,540,0,0,16.8806,1,1,0,0,1,1,0,0,0,0,15251,0,1,17.4539,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
2,29,867.862,0,1,4185,0,0,22.9635,1,1,0,0,1,1,0,0,0,0,9762,0,1,29.4311,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
3,29,326.668,0,1,5483,0,0,28.2032,1,1,0,0,1,1,0,0,0,0,111,0,1,23.0991,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
4,29,59.5547,0,1,5588,0,0,23.8889,1,1,0,0,1,1,0,0,0,0,9853,0,1,26.494,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
5,29,80.3894,0,1,7396,0,0,23.7789,1,1,0,0,1,1,0,0,0,0,1765,0,1,20.1119,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
6,29,182.932,0,1,15701,0,0,28.9578,1,1,0,0,1,1,0,0,0,0,16020,0,1,16.5848,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
7,29,90.2038,0,1,254,0,0,22.4095,1,1,0,0,1,1,0,0,0,0,7142,0,1,27.3193,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
8,29,293.114,0,1,1074,0,0,34.5048,1,1,0,0,1,1,0,0,0,0,14334,0,1,26.796,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,NEGATIVE
9,29,854.656,0,1,8659,0,0,23.6096,1,1,0,0,1,1,0,0,0,0,14764,0,1,23.8078,1,1,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,UNKNOWN
10,29,594.941,0,1,9703,0,0,21.3295,1,1,0,0,1,1,0,0,0,0,7030,0,1,20.8463,1,1,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes,540.55,540.55,-1,-1,0,0,0,0,0,0,NEGATIVE,UNKNOWN
