Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,4,Yes,0,0,0,135,52,101,0,25,25,15,15,11,51,2,0
1995.5,4,Yes,0,0,10,113,55,61,0,12,12,11,11,11,16,0,1
1995.5,4,Yes,0,0,20,84,44,36,0,0,0,4,4,2,4,1,1
1995.5,4,Yes,0,0,30,78,40,33,0,0,0,3,3,2,2,1,0
1995.5,4,Yes,0,0,40,46,29,29,0,0,0,4,4,3,1,0,0
1995.5,4,Yes,0,0,50,36,26,17,0,1,0,1,1,1,2,0,0
1995.5,4,Yes,0,0,60,20,4,8,0,1,0,1,1,1,3,0,0
1995.5,4,Yes,0,0,70,12,7,6,0,1,0,0,0,0,1,0,0
1995.5,4,Yes,0,0,80,3,1,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,Yes,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
