Time,ID,FromNodeID,ToNodeID,State,Genome,Species,Age,Population
366,5546292,24,23,STATE_INFECTED,X:X,funestus,20,1
366,5603466,23,24,STATE_INFECTED,X:X,funestus,17,1
367,7696642,24,23,STATE_INFECTED,X:X,funestus,20,1
369,5816212,23,24,STATE_INFECTED,X:X,funestus,11,1
369,5498843,23,24,STATE_INFECTIOUS,X:X,funestus,24,1
370,8143114,23,24,STATE_INFECTED,X:X,funestus,6,1
370,7862335,23,24,STATE_INFECTED,X:X,funestus,16,1
370,7970516,23,24,STATE_INFECTED,X:X,funestus,11,1
370,5884760,23,24,STATE_INFECTED,X:X,funestus,6,1
371,5498843,24,23,STATE_INFECTIOUS,X:X,funestus,26,1
371,5159790,23,24,STATE_INFECTED,X:X,funestus,48,1
372,5796499,24,23,STATE_INFECTED,X:X,funestus,12,1
372,8144050,24,23,STATE_INFECTED,X:X,funestus,8,1
372,5852534,23,24,STATE_INFECTED,X:X,funestus,12,1
373,7977330,24,23,STATE_INFECTED,X:X,funestus,15,1
373,8207616,23,24,STATE_INFECTED,X:X,funestus,4,1
373,5893573,23,24,STATE_INFECTED,X:X,funestus,8,1
374,8007390,23,24,STATE_INFECTED,X:X,funestus,13,1
