Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,903,0,0,903,903,0,0,61800,30900,0,0,0,0,0,0,97,0,0,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,2,90,0,0,90,93,0,0,7400,3700,26,0,8,0,0,0,10,0,0,5,11,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,20,91,0,0,91,94,0,0,6400,3200,26,0,4,0,0,0,9,0,0,20,15,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,30,178,0,0,178,187,0,0,12400,6200,49,0,11,0,0,0,22,0,0,26,24,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,357,0,0,357,363,0,0,26200,13100,0,0,0,0,0,0,43,0,0,67,55,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,369,0,0,369,351,0,0,23000,11500,0,0,0,0,0,0,31,0,0,39,54,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,20,89,0,0,89,89,0,0,7000,3500,29,0,6,0,0,0,11,0,0,19,7,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,20,87,0,0,87,87,0,0,6200,3100,25,0,5,0,0,0,13,0,0,20,13,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,20,84,0,0,84,88,0,0,6000,3000,20,0,10,0,0,0,16,0,0,22,8,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,10,182,0,0,182,183,0,0,12200,6100,50,0,8,0,0,0,18,0,0,52,22,13757.1,746.25,1528.57,1,1,1,0,0,0
