Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,87,0,0,87,89,0,0,6200,3100,26,0,3,0,0,0,13,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,181,0,0,181,180,0,0,13800,6900,54,0,7,0,0,0,19,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,366,0,0,366,355,0,0,25400,12700,0,0,0,0,0,0,34,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,362,0,0,362,369,0,0,23400,11700,0,0,0,0,0,0,38,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,10,90,0,0,90,92,0,0,5800,2900,26,0,2,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,85,0,0,85,87,0,0,6400,3200,25,0,5,0,0,0,15,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,93,0,0,93,89,0,0,5600,2800,22,0,4,0,0,0,7,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,180,0,0,180,180,0,0,11600,5800,49,0,7,0,0,0,20,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,16,0,362,0,0,362,368,0,0,23200,11600,0,0,0,0,0,0,38,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,15,5,90,0,0,90,91,0,0,6600,3300,30,0,2,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,95,0,0,95,84,0,0,5800,2900,0,0,0,0,0,0,5,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,86,0,0,86,92,0,0,6400,3200,25,0,6,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,89,0,0,89,93,0,0,7400,3700,33,0,2,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,182,0,0,182,178,0,0,12000,6000,49,0,9,0,0,0,18,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,10,10,40,0,0,40,49,0,0,2000,1000,8,0,1,0,0,0,10,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,9,10,89,0,0,89,90,0,0,4400,2200,19,0,3,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,91,0,0,91,91,0,0,6000,3000,23,0,6,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,86,0,0,86,93,0,0,6200,3100,0,0,0,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,85,0,0,85,85,0,0,5400,2700,23,0,4,0,0,0,15,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,46,0,0,46,47,0,0,3200,1600,14,0,1,0,0,0,4,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,4,5,45,0,0,45,46,0,0,3000,1500,10,0,3,0,0,0,5,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,3,1,92,0,0,92,93,0,0,6400,3200,24,0,5,0,0,0,8,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,86,0,0,86,87,0,0,6800,3400,26,0,6,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,89,0,0,89,89,0,0,5400,2700,21,0,5,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,825,0,0,825,774,0,30724,51400,25700,0,0,0,0,0,0,88,0,0,59163.2,1471.15,2833.69,1,0.160484,0.24263,0,0,0
1,25,1,88,0,0,88,82,0,2260,5600,2800,24,0,2,0,0,0,10,0,0,2238.16,69.7575,141.685,1,0.074625,0.109183,0,0,0
1,24,10,76,0,0,76,82,0,2851,6400,3200,24,0,3,0,0,0,8,0,0,1638.16,62.7575,157.685,1,0.074625,0.169841,0,0,0
1,23,15,170,0,0,170,154,0,5499,9400,4700,42,0,6,0,0,0,11,0,0,16990.8,402.787,655.423,1,0.219485,0.212301,0,0,0
1,22,0,299,0,0,299,298,0,11698,21600,10800,0,0,0,0,0,0,35,0,0,33181.6,719.575,1496.85,1,0.196382,0.288409,0,0,0
1,21,0,324,0,0,324,312,0,11828,24600,12300,0,0,0,0,0,0,35,0,0,32981.6,724.575,1561.85,1,0.226136,0.325227,0,0,0
1,20,11,81,0,0,81,90,0,2278,5600,2800,27,0,1,0,0,0,9,0,0,2238.16,74.7575,118.685,1,0.074625,0.152857,0,0,0
1,19,10,86,0,0,86,73,0,2203,5400,2700,21,0,5,0,0,0,14,0,0,2238.16,93.7575,174.685,1,0.0621875,0.138961,0,0,0
1,18,10,91,0,0,91,94,0,3077,5600,2800,28,0,1,0,0,0,14,0,0,1438.16,66.7575,127.685,1,0.14925,0.152857,0,0,0
1,17,6,185,0,0,185,161,0,5470,12200,6100,58,0,16,0,0,0,21,0,0,16990.8,359.787,727.423,1,0.219485,0.305713,0,0,0
1,16,0,292,0,0,292,304,0,11810,19600,9800,0,0,0,0,0,0,29,0,0,33181.6,720.575,1383.85,1,0.219485,0.332297,0,0,0
1,15,5,75,0,0,75,81,0,2459,5600,2800,24,0,4,0,0,0,7,0,0,2038.16,65.7575,146.685,1,0.0621875,0.138961,0,0,0
1,14,0,81,0,0,81,77,0,2643,5800,2900,0,0,0,0,0,0,11,0,0,1838.16,65.7575,162.685,1,0.074625,0.191071,0,0,0
1,13,10,74,0,0,74,77,0,2440,4400,2200,22,0,0,0,0,0,8,0,0,2038.16,88.7575,142.685,1,0.0932812,0.109183,0,0,0
1,12,15,90,0,0,90,99,0,1870,5400,2700,27,0,6,0,0,0,19,0,0,2638.16,60.7575,140.685,1,0.0533036,0.0955354,0,0,0
1,11,10,144,0,0,144,155,0,5630,10800,5400,44,0,8,0,0,0,27,0,0,16790.8,378.787,748.423,1,0.207292,0.305713,0,0,0
1,10,10,38,0,0,38,43,0,843,1600,800,7,0,1,0,0,0,5,0,0,1419.08,32.3788,60.3424,1,0.186562,0.152857,0,0,0
1,9,10,81,0,0,81,75,0,1485,5200,2600,25,0,2,0,0,0,4,0,0,3038.16,50.7575,135.685,1,0.0678409,0.254761,0,0,0
1,8,9,83,0,0,83,86,0,2683,4600,2300,19,0,4,0,0,0,7,0,0,1838.16,72.7575,115.685,1,0.0829167,0.152857,0,0,0
1,7,0,86,0,0,86,87,0,2467,6200,3100,0,0,0,0,0,0,13,0,0,2038.16,67.7575,136.685,1,0.0621875,0.169841,0,0,0
1,6,10,84,0,0,84,80,0,2240,6600,3300,25,0,7,0,0,0,12,0,0,2238.16,68.7575,162.685,1,0.074625,0.191071,0,0,0
1,5,14,45,0,0,45,46,0,1210,2800,1400,9,0,5,0,0,0,4,0,0,1019.08,51.3788,74.3424,1,0.0533036,0.191071,0,0,0
1,4,5,39,0,0,39,48,0,1612,2400,1200,10,0,1,0,0,0,4,0,0,644.081,34.3788,64.3424,0.98265,0.124375,0.152857,0,0,0
1,3,2,80,0,0,80,73,0,2612,6000,3000,25,0,3,0,0,0,11,0,0,1838.16,89.7575,169.685,1,0.074625,0.138961,0,0,0
1,2,9,82,0,0,82,82,0,2661,5400,2700,24,0,4,0,0,0,7,0,0,1838.16,81.7575,128.685,1,0.0574038,0.152857,0,0,0
1,1,5,75,0,0,75,75,0,2261,4200,2100,18,0,3,0,0,0,12,0,0,2238.16,58.7575,151.685,1,0.124375,0.127381,0,0,0
2,26,0,735,0,0,735,695,0,46057,49200,24600,0,0,0,0,0,0,90,0,0,71883.3,1788.6,3270.92,1,0.0919469,0.132416,0,0,0
2,25,1,74,0,0,74,80,0,4024,5000,2500,22,0,3,0,0,0,13,0,0,1864.02,91.5299,170.446,1,0.0498268,0.0590353,0,0,0
2,24,11,64,0,0,64,78,0,4417,3800,1900,18,0,1,0,0,0,8,0,0,1486.02,90.5299,156.446,1,0.026149,0.065702,0,0,0
2,23,15,146,0,0,146,138,0,9475,7800,3900,37,0,7,0,0,0,24,0,0,20049.1,399.65,826.231,1,0.134262,0.218474,0,0,0
2,22,0,244,0,0,244,241,0,19070,14600,7300,0,0,0,0,0,0,37,0,0,39962.2,866.299,1601.46,1,0.10582,0.174052,0,0,0
2,21,0,282,0,0,282,282,0,20536,17200,8600,0,0,0,0,0,0,30,0,0,38394.2,894.299,1675.46,1,0.0905719,0.173539,0,0,0
2,20,10,72,0,0,72,81,0,3050,4400,2200,16,0,6,0,0,0,8,0,0,2829.02,89.5299,181.446,1,0.0622979,0.032968,0,0,0
2,19,10,83,0,0,83,79,0,3876,5400,2700,19,0,7,0,0,0,9,0,0,2041.02,84.5299,148.446,1,0.0468788,0.0970471,0,0,0
2,18,10,96,0,0,96,83,0,3774,7400,3700,33,0,11,0,0,0,13,0,0,2108.02,82.5299,185.446,1,0.0333788,0.0456017,0,0,0
2,17,5,169,0,0,169,155,0,9812,12600,6300,76,0,8,0,0,0,25,0,0,19675.1,465.65,797.231,1,0.099941,0.151547,0,0,0
2,16,0,236,0,0,236,254,0,18844,15000,7500,0,0,0,0,0,0,39,0,0,40154.2,887.299,1614.46,1,0.128674,0.172981,0,0,0
2,15,5,70,0,0,70,59,0,3998,5400,2700,22,0,4,0,0,0,7,0,0,1871.02,87.5299,193.446,1,0.0298898,0.0814915,0,0,0
2,14,0,69,0,0,69,74,0,4442,4400,2200,0,0,0,0,0,0,10,0,0,1448.02,84.5299,175.446,0.919081,0.0469696,0.0677853,0,0,0
