Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
0,1,1000,8777,0,0,8777,9060,0,0,599200,299600,2853,0,0,0,0,0,943,280,0,19487.5,1,0,0,0,0,0,0,0,2853,0,0,0,0,0,0,0,0,0,0
0,2,1000,8729,0,0,8729,9071,0,0,605200,302600,2885,0,0,0,0,0,971,300,0,19487.5,1,0,0,0,0,0,0,0,2885,0,0,0,0,0,0,0,0,0,0
0,3,1000,8743,0,0,8743,9100,0,0,609800,304900,2895,0,0,0,0,0,995,262,0,19487.5,1,0,0,0,0,0,0,0,2895,0,0,0,0,0,0,0,0,0,0
0,4,1000,8747,0,0,8747,9034,0,0,598200,299100,2865,0,0,0,0,0,953,300,0,19487.5,1,0,0,0,0,0,0,0,2865,0,0,0,0,0,0,0,0,0,0
1,1,999,7668,0,0,7668,8144,0,19469,525400,262700,2491,0,0,0,0,0,865,242,0,9238.76,0.0325225,0,0,0,7668,0,0,0,2491,0,0,0,0,0,0,0,0,0,0
1,2,1000,7615,0,0,7615,8147,0,19497,530000,265000,2518,0,0,0,0,0,859,254,0,9210.76,0.0322,0,0,0,7615,0,0,0,2518,0,0,0,0,0,0,0,0,0,0
1,3,999,7681,0,0,7681,8262,0,19560,546200,273100,2618,0,0,0,0,0,817,248,0,9147.76,0.0319571,0,0,0,7681,0,0,0,2618,0,0,0,0,0,0,0,0,0,0
1,4,1002,7648,0,0,7648,8182,0,19374,555600,277800,2640,0,0,0,0,0,818,281,0,9333.76,0.0325768,0,0,0,7648,0,0,0,2640,0,0,0,0,0,0,0,0,0,0
2,1,997,6699,0,0,6699,7407,0,26903,514200,257100,2454,0,0,0,0,0,720,251,0,10692.8,0.0175842,0,0,0,6699,0,0,0,2454,0,0,0,0,0,0,0,0,0,0
2,2,1001,6596,0,0,6596,7369,0,26807,493800,246900,2355,0,0,0,0,0,768,252,0,10788.8,0.0173788,0,0,0,6596,0,0,0,2355,0,0,0,0,0,0,0,0,0,0
2,3,1000,6697,0,0,6697,7460,0,26675,489400,244700,2351,0,0,0,0,0,750,232,0,10920.8,0.016748,0,0,0,6697,0,0,0,2351,0,0,0,0,0,0,0,0,0,0
2,4,1002,6698,0,0,6698,7398,0,26868,493800,246900,2344,0,0,0,0,0,719,230,0,10727.8,0.0167994,0,0,0,6698,0,0,0,2344,0,0,0,0,0,0,0,0,0,0
3,1,997,5838,0,0,5838,6678,0,34948,397400,198700,1895,0,0,0,0,0,650,211,0,11215.6,0.0207951,0,0,0,5838,0,0,0,1895,0,0,0,0,0,0,0,0,0,0
3,2,1001,5777,0,0,5777,6689,0,35322,405200,202600,1932,0,0,0,0,0,621,196,0,10841.6,0.0218486,0,0,0,5777,0,0,0,1932,0,0,0,0,0,0,0,0,0,0
3,3,1000,5842,0,0,5842,6735,0,34915,407400,203700,1931,0,0,0,0,0,679,176,0,11248.6,0.0223147,0,0,0,5842,0,0,0,1931,0,0,0,0,0,0,0,0,0,0
3,4,1002,5896,0,0,5896,6690,0,35043,399600,199800,1911,0,0,0,0,0,626,178,0,11120.6,0.021725,0,0,0,5896,0,0,0,1911,0,0,0,0,0,0,0,0,0,0
4,1,997,5148,0,0,5148,6049,0,42870,359000,179500,1700,0,0,0,0,0,534,155,0,11552.7,0.0282225,0,0,0,5148,0,0,0,1700,0,0,0,0,0,0,0,0,0,0
4,2,1002,5070,0,0,5070,6040,0,42850,352000,176000,1665,0,0,0,0,0,523,185,0,11572.7,0.0267562,0,0,0,5070,0,0,0,1665,0,0,0,0,0,0,0,0,0,0
4,3,1000,5100,0,0,5100,6087,0,42852,357000,178500,1681,0,0,0,0,0,565,176,0,11570.7,0.0276107,0,0,0,5100,0,0,0,1681,0,0,0,0,0,0,0,0,0,0
4,4,1001,5186,0,0,5186,6058,0,42759,369800,184900,1740,0,0,0,0,0,561,150,0,11663.7,0.0278294,0,0,0,5186,0,0,0,1740,0,0,0,0,0,0,0,0,0,0
5,1,997,4532,0,0,4532,5466,0,50253,344800,172400,1637,0,0,0,0,0,468,149,0,12131.1,0.0321802,0,0,0,4532,0,0,0,1637,0,0,0,0,0,0,0,0,0,0
5,2,1002,4423,0,0,4423,5499,0,50256,332800,166400,1574,0,0,0,0,0,498,148,0,12128.1,0.0328769,0,0,0,4423,0,0,0,1574,0,0,0,0,0,0,0,0,0,0
5,3,999,4442,0,0,4442,5507,0,50440,323400,161700,1540,0,0,0,0,0,516,141,0,11944.1,0.0324109,0,0,0,4442,0,0,0,1540,0,0,0,0,0,0,0,0,0,0
5,4,1002,4547,0,0,4547,5459,0,50305,334200,167100,1572,0,0,0,0,0,493,147,0,12079.1,0.0315405,0,0,0,4547,0,0,0,1572,0,0,0,0,0,0,0,0,0,0
6,1,998,3931,0,0,3931,4956,0,57570,265800,132900,1261,0,0,0,0,0,471,131,0,12488.7,0.0351831,0,0,0,3931,0,0,0,1261,0,0,0,0,0,0,0,0,0,0
6,2,1001,3877,0,0,3877,4967,0,57761,272800,136400,1283,0,0,0,0,0,422,124,0,12297.7,0.0364427,0,0,0,3877,0,0,0,1283,0,0,0,0,0,0,0,0,0,0
6,3,999,3920,0,0,3920,4991,0,57766,274200,137100,1294,0,0,0,0,0,404,117,0,12292.7,0.036933,0,0,0,3920,0,0,0,1294,0,0,0,0,0,0,0,0,0,0
