Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),Original_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_transitory_rels,A_num_active_informal_rels,A_num_active_marital_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_transitory_rels,B_num_active_informal_rels,B_num_active_marital_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,160.496,0,1,1273,0,0,34.2268,1,1,0,0,1,1,0,0,0,0,2604,0,1,23.6399,1,1,0,0,1,1,0,0,0,0,None,None
2,0,245.642,0,1,3604,0,0,25.3333,1,1,0,0,1,1,0,0,0,0,12464,0,1,18.2666,1,1,0,0,1,1,0,0,0,0,None,None
3,0,125.321,0,1,3642,0,0,23.4916,1,1,0,0,1,1,0,0,0,0,15684,0,1,19.5221,1,1,0,0,1,1,0,0,0,0,None,None
4,0,177.069,0,1,5266,0,0,20.2157,1,1,0,0,1,1,0,0,0,0,4781,0,1,29.9902,1,1,0,0,1,1,0,0,0,0,None,None
5,0,744.706,0,1,6915,0,0,24.3598,1,1,0,0,1,1,0,0,0,0,62,0,1,16.8187,1,1,0,0,1,1,0,0,0,0,None,None
6,0,241.148,0,1,7035,0,0,36.7079,1,1,0,0,1,1,0,0,0,0,3781,0,1,26.38,1,1,0,0,1,1,0,0,0,0,None,None
7,0,308.876,0,1,7541,0,0,15.0895,1,1,0,0,1,1,0,0,0,0,4017,0,1,20.0766,1,1,0,0,1,1,0,0,0,0,None,None
8,0,172.249,0,1,9484,0,0,27.0896,1,1,0,0,1,1,0,0,0,0,12494,0,1,21.4744,1,1,0,0,1,1,0,0,0,0,None,None
9,0,100.01,0,1,9799,0,0,22.8884,1,1,0,0,1,1,0,0,0,0,2178,0,1,17.2781,1,1,0,0,1,1,0,0,0,0,None,None
10,0,253.098,0,1,10064,0,0,23.235,1,1,0,0,1,1,0,0,0,0,2371,0,1,14.9562,1,1,0,0,1,1,0,0,0,0,None,None
11,0,331.659,1,1,1520,0,0,27.7803,1,0,1,0,1,1,0,0,0,0,9522,0,1,21.0686,1,0,1,0,1,1,0,0,0,0,None,None
12,0,839.821,1,1,1592,0,0,50.0216,1,0,1,0,1,1,0,0,0,0,13133,0,1,45.4231,1,0,1,0,1,1,0,0,0,0,None,None
13,0,262.459,1,1,6148,0,0,16.9962,1,0,1,0,1,1,0,0,0,0,1367,0,1,18.1282,1,0,1,0,1,1,0,0,0,0,None,None
14,0,843.781,1,1,7338,0,0,15.5301,1,0,1,0,1,1,0,0,0,0,5449,0,1,23.5468,1,0,1,0,1,1,0,0,0,0,None,None
15,0,1359.87,1,1,7795,0,0,32.1185,1,0,1,0,1,1,0,0,0,0,6005,0,1,19.5897,1,0,1,0,1,1,0,0,0,0,None,None
