Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,401.746,0,1,1,926,0,0,26.5657,1,1,0,0,0,1,1,0,0,0,0,7092,0,1,19.6345,1,1,0,0,0,1,1,0,0,0,0,None,None
2,0,166.83,0,1,1,1314,0,0,29.5194,1,1,0,0,0,1,1,0,0,0,0,11883,0,1,20.4802,1,1,0,0,0,1,1,0,0,0,0,None,None
3,0,739.914,0,1,1,3173,0,0,27.5024,1,1,0,0,0,1,1,0,0,0,0,1798,0,1,16.5008,1,1,0,0,0,1,1,0,0,0,0,None,None
4,0,834.322,0,1,1,5455,0,0,39.1212,1,1,0,0,0,1,1,0,0,0,0,16566,0,1,33.4024,1,1,0,0,0,1,1,0,0,0,0,None,None
5,0,323.553,0,1,1,5607,0,0,32.9513,1,1,0,0,0,1,1,0,0,0,0,11620,0,1,17.5935,1,1,0,0,0,1,1,0,0,0,0,None,None
6,0,125.765,0,1,1,10787,0,0,16.3954,1,1,0,0,0,1,1,0,0,0,0,4798,0,1,17.4584,1,1,0,0,0,1,1,0,0,0,0,None,None
7,0,272.773,0,1,1,11037,0,0,18.0366,1,1,0,0,0,1,1,0,0,0,0,14709,0,1,16.6614,1,1,0,0,0,1,1,0,0,0,0,None,None
8,0,345.452,1,1,1,77,0,0,25.835,1,0,1,0,0,1,1,0,0,0,0,11608,0,1,23.0769,1,0,1,0,0,1,1,0,0,0,0,None,None
9,0,532.142,1,1,1,164,0,0,36.2657,1,0,1,0,0,1,1,0,0,0,0,4848,0,1,42.3945,1,0,1,0,0,1,1,0,0,0,0,None,None
10,0,436.759,1,1,1,503,0,0,21.2465,1,0,1,0,0,1,1,0,0,0,0,16043,0,1,21.6207,1,0,1,0,0,1,1,0,0,0,0,None,None
11,0,1579.47,1,1,1,8700,0,0,28.8023,1,0,1,0,0,1,1,0,0,0,0,8869,0,1,29.7871,1,0,1,0,0,1,1,0,0,0,0,None,None
