Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,29,573.678,0,1,1,666,0,0,24.4865,1,1,0,0,0,1,1,0,0,0,0,8816,0,1,23.4358,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
2,29,364.96,0,1,1,8487,0,0,17.4945,1,1,0,0,0,1,1,0,0,0,0,1650,0,1,19.1726,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
3,29,54.2914,0,1,1,12049,0,0,18.7001,1,1,0,0,0,1,1,0,0,0,0,16893,0,1,19.5804,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
4,29,131.26,0,1,1,741,0,0,21.2184,1,1,0,0,0,1,1,0,0,0,0,16944,0,1,18.7269,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-SUBURBAN
5,29,148.247,0,1,1,3565,0,0,19.4859,1,1,0,0,0,1,1,0,0,0,0,13557,0,1,19.4186,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-SUBURBAN
6,29,318.05,0,1,1,7728,0,0,30.2646,1,1,0,0,0,1,1,0,0,0,0,16373,0,1,17.0194,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-SUBURBAN
7,29,192.83,0,1,1,10052,0,0,26.6754,1,1,0,0,0,1,1,0,0,0,0,9035,0,1,29.0621,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
8,29,664.107,0,1,1,11111,0,0,19.391,1,1,0,0,0,1,1,0,0,0,0,7977,0,1,26.9199,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-URBAN
9,29,72.1467,0,1,1,11269,0,0,31.7532,1,1,0,0,0,1,1,0,0,0,0,4871,0,1,34.0761,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
10,29,192.889,0,1,1,12411,0,0,27.264,1,1,0,0,0,1,1,0,0,0,0,6647,0,1,22.1634,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-SUBURBAN
11,29,358.817,0,1,1,16441,0,0,22.5371,1,1,0,0,0,1,1,0,0,0,0,5027,0,1,20.7498,1,1,0,0,0,1,1,0,0,0,0,Location-RURAL,Location-URBAN
12,29,254.85,0,1,1,16852,0,0,26.8441,1,1,0,0,0,1,1,0,0,0,0,17071,0,1,23.2803,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
13,29,1006.01,0,1,1,17341,0,0,27.4548,1,1,0,0,0,1,1,0,0,0,0,2140,0,1,22.3324,1,1,0,0,0,1,1,0,0,0,0,Location-RURAL,Location-RURAL
14,29,1630.03,0,1,1,8022,0,0,17.0705,1,1,0,0,0,1,1,0,0,0,0,14350,0,1,18.8252,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
15,29,193.549,0,1,1,8978,0,0,15.7015,1,1,0,0,0,1,1,0,0,0,0,11247,0,1,15.6349,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-URBAN
16,29,598.816,0,1,1,10039,0,0,30.1983,1,1,0,0,0,1,1,0,0,0,0,12718,0,1,25.4928,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
17,29,72.0936,0,1,1,11548,0,0,17.1189,1,1,0,0,0,1,1,0,0,0,0,14210,1,1,18.8641,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-RURAL
18,29,152.031,0,1,1,9198,0,0,16.9442,1,1,0,0,0,1,1,0,0,0,0,870,0,1,22.172,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-SUBURBAN
19,29,163.668,0,1,1,10149,0,0,20.8641,1,1,0,0,0,1,1,0,0,0,0,8133,0,1,29.9657,1,1,0,0,0,1,1,0,0,0,0,Location-RURAL,Location-URBAN
20,29,496.491,0,1,1,16497,0,0,22.7738,1,1,0,0,0,1,1,0,0,0,0,9176,0,1,20.2893,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
21,29,239.086,0,1,1,895,0,0,26.0847,1,1,0,0,0,1,1,0,0,0,0,16951,0,1,17.8512,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-SUBURBAN
22,29,375.902,0,1,1,1392,0,0,23.447,1,1,0,0,0,1,1,0,0,0,0,9578,0,1,19.1106,1,1,0,0,0,1,1,0,0,0,0,Location-SUBURBAN,Location-SUBURBAN
23,29,150.232,0,1,1,3642,0,0,36.3772,1,1,0,0,0,1,1,0,0,0,0,3134,0,1,19.5691,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
24,29,57.377,0,1,1,4053,0,0,18.8228,1,1,0,0,0,1,1,0,0,0,0,15428,0,1,17.3813,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
25,29,35.8415,0,1,1,6794,0,0,33.1159,1,1,0,0,0,1,1,0,0,0,0,7443,0,1,31.7639,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-SUBURBAN
26,29,332.912,0,1,1,7554,0,0,24.6266,1,1,0,0,0,1,1,0,0,0,0,15363,0,1,19.5753,1,1,0,0,0,1,1,0,0,0,0,Location-URBAN,Location-URBAN
