Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,29,268.493,0,1,1,666,0,0,24.4865,1,1,0,0,0,1,1,0,0,0,0,6416,0,1,21.1475,1,1,0,0,0,1,1,0,0,0,0,Location-M_22,Location-M_12
2,29,104.301,0,1,1,1347,0,0,28.0189,1,1,0,0,0,1,1,0,0,0,0,6508,0,1,22.3379,1,1,0,0,0,1,1,0,0,0,0,Location-M_14,Location-M_55
3,29,224.3,0,1,1,6963,0,0,22.8358,1,1,0,0,0,1,1,0,0,0,0,15478,0,1,22.6661,1,1,0,0,0,1,1,0,0,0,0,Location-M_51,Location-M_51
4,29,312.082,0,1,1,10228,0,0,38.0556,1,1,0,0,0,1,1,0,0,0,0,1063,0,1,25.5915,1,1,0,0,0,1,1,0,0,0,0,Location-M_55,Location-M_55
5,29,397.599,0,1,1,11189,0,0,49.3681,1,1,0,0,0,1,1,0,0,0,0,13407,0,1,48.0406,1,1,0,0,0,1,1,0,0,0,0,Location-M_22,Location-M_22
6,29,250.939,0,1,1,12000,0,0,54.4777,1,1,0,0,0,1,1,0,0,0,0,7906,0,1,48.7072,1,1,0,0,0,1,1,0,0,0,0,Location-M_43,Location-M_12
7,29,175.859,0,1,1,12199,0,0,32.469,1,1,0,0,0,1,1,0,0,0,0,4528,0,1,22.5249,1,1,0,0,0,1,1,0,0,0,0,Location-M_51,Location-M_41
8,29,172.287,0,1,1,13648,0,0,20.5222,1,1,0,0,0,1,1,0,0,0,0,5496,0,1,16.6588,1,1,0,0,0,1,1,0,0,0,0,Location-M_22,Location-M_13
9,29,82.5363,0,1,1,2150,0,0,39.0656,1,1,0,0,0,1,1,0,0,0,0,7481,0,1,25.8277,1,1,0,0,0,1,1,0,0,0,0,Location-M_42,Location-M_22
10,29,243.326,0,1,1,2941,0,0,18.0406,1,1,0,0,0,1,1,0,0,0,0,16341,0,1,16.5423,1,1,0,0,0,1,1,0,0,0,0,Location-M_43,Location-M_45
11,29,405.837,0,1,1,3608,0,0,20.7426,1,1,0,0,0,1,1,0,0,0,0,7553,0,1,15.9324,1,1,0,0,0,1,1,0,0,0,0,Location-M_24,Location-M_23
12,29,89.1519,0,1,1,7850,0,0,39.801,1,1,0,0,0,1,1,0,0,0,0,10646,0,1,28.3933,1,1,0,0,0,1,1,0,0,0,0,Location-M_44,Location-M_34
13,29,256.269,0,1,1,10368,0,0,33.7996,1,1,0,0,0,1,1,0,0,0,0,15724,0,1,17.6284,1,1,0,0,0,1,1,0,0,0,0,Location-M_13,Location-M_12
14,29,351.756,0,1,1,12491,0,0,32.7286,1,1,0,0,0,1,1,0,0,0,0,6834,0,1,29.9464,1,1,0,0,0,1,1,0,0,0,0,Location-M_45,Location-M_45
15,29,597.66,0,1,1,12997,0,0,18.3192,1,1,0,0,0,1,1,0,0,0,0,10005,0,1,23.7137,1,1,0,0,0,1,1,0,0,0,0,Location-M_54,Location-M_45
16,29,469.735,0,1,1,13238,0,0,22.9551,1,1,0,0,0,1,1,0,0,0,0,5027,0,1,20.7498,1,1,0,0,0,1,1,0,0,0,0,Location-M_33,Location-M_43
17,29,882.081,0,1,1,13251,1,0,25.3607,1,1,0,0,0,1,1,0,0,0,0,15323,0,1,24.8791,1,1,0,0,0,1,1,0,0,0,0,Location-M_11,Location-M_12
18,29,749.681,0,1,1,14935,0,0,18.3752,1,1,0,0,0,1,1,0,0,0,0,6948,0,1,16.9238,1,1,0,0,0,1,1,0,0,0,0,Location-M_52,Location-M_22
19,29,190.697,0,1,1,16472,0,0,22.6782,1,1,0,0,0,1,1,0,0,0,0,58,0,1,19.5985,1,1,0,0,0,1,1,0,0,0,0,Location-M_34,Location-M_45
20,29,349.843,0,1,1,330,0,0,24.5391,1,1,0,0,0,1,1,0,0,0,0,2244,0,1,14.515,1,1,0,0,0,1,1,0,0,0,0,Location-M_12,Location-M_21
21,29,359.909,0,1,1,433,0,0,47.2282,1,1,0,0,0,1,1,0,0,0,0,14692,0,1,28.3669,1,1,0,0,0,1,1,0,0,0,0,Location-M_23,Location-M_13
22,29,349.709,0,1,1,4609,0,0,24.1254,1,1,0,0,0,1,1,0,0,0,0,5812,0,1,29.4069,1,1,0,0,0,1,1,0,0,0,0,Location-M_54,Location-M_55
23,29,511.132,0,1,1,4654,0,0,19.8433,1,1,0,0,0,1,1,0,0,0,0,10553,0,1,23.7136,1,1,0,0,0,1,1,0,0,0,0,Location-M_55,Location-M_55
24,29,358.901,0,1,1,5076,0,0,38.4915,1,1,0,0,0,1,1,0,0,0,0,7232,0,1,33.5103,1,1,0,0,0,1,1,0,0,0,0,Location-M_41,Location-M_22
25,29,125.548,0,1,1,9924,0,0,32.4193,1,1,0,0,0,1,1,0,0,0,0,10989,0,1,23.5109,1,1,0,0,0,1,1,0,0,0,0,Location-M_54,Location-M_54
26,29,408.429,0,1,1,12029,0,0,24.4186,1,1,0,0,0,1,1,0,0,0,0,9726,1,1,20.8057,1,1,0,0,0,1,1,0,0,0,0,Location-M_12,Location-M_11
27,29,265.17,0,1,1,14274,0,0,41.2372,1,1,0,0,0,1,1,0,0,0,0,628,0,1,34.1973,1,1,0,0,0,1,1,0,0,0,0,Location-M_12,Location-M_23
28,29,741.589,0,1,1,1182,0,0,46.8014,1,1,0,0,0,1,1,0,0,0,0,2468,0,1,26.2866,1,1,0,0,0,1,1,0,0,0,0,Location-M_35,Location-M_34
29,29,222.32,0,1,1,4025,0,0,31.855,1,1,0,0,0,1,1,0,0,0,0,9617,0,1,32.2716,1,1,0,0,0,1,1,0,0,0,0,Location-M_22,Location-M_22
30,29,490.018,0,1,1,9823,0,0,35.7882,1,1,0,0,0,1,1,0,0,0,0,10019,0,1,30.7397,1,1,0,0,0,1,1,0,0,0,0,Location-M_44,Location-M_44
31,29,89.5157,0,1,1,16631,0,0,20.1311,1,1,0,0,0,1,1,0,0,0,0,7324,0,1,19.3244,1,1,0,0,0,1,1,0,0,0,0,Location-M_33,Location-M_25
32,29,408.657,0,1,1,1928,0,0,38.7504,1,1,0,0,0,1,1,0,0,0,0,7471,0,1,29.0835,1,1,0,0,0,1,1,0,0,0,0,Location-M_25,Location-M_24
