Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,6,80.634,0,F,1,1,235,0,0,46.9496,0,1,1,0,0,0,1,1,0,0,0,0,690,0,1,62.3891,0,1,1,0,0,0,1,1,0,0,0,0
2,6,164.746,0,F,1,1,1098,0,0,52.0548,0,1,1,0,0,0,1,1,0,0,0,0,4502,0,1,36.6816,0,1,1,0,0,0,1,1,0,0,0,0
3,6,283.278,0,F,1,1,3082,0,0,38.0464,0,1,1,0,0,0,1,1,0,0,0,0,16400,0,1,56.9165,0,1,1,0,0,0,1,1,0,0,0,0
4,6,312.127,0,F,1,1,4681,0,0,21.5568,0,1,1,0,0,0,1,1,0,0,0,0,16697,0,1,58.9726,0,1,1,0,0,0,1,1,0,0,0,0
5,6,216.383,0,F,1,1,5503,0,0,53.7762,0,1,1,0,0,0,1,1,0,0,0,0,4938,0,1,49.4319,0,1,1,0,0,0,1,1,0,0,0,0
6,6,427.11,0,F,1,1,5631,0,0,30.7215,0,1,1,0,0,0,1,1,0,0,0,0,17006,0,1,53.0937,0,1,1,0,0,0,1,1,0,0,0,0
7,6,22.0976,0,F,1,1,5720,0,0,64.625,0,1,1,0,0,0,1,1,0,0,0,0,12557,0,1,38.8602,0,1,1,0,0,0,1,1,0,0,0,0
8,6,369.023,0,F,1,1,6526,0,0,76.1319,0,1,1,0,0,0,1,1,0,0,0,0,13630,0,1,16.3607,0,1,1,0,0,0,1,1,0,0,0,0
9,6,247.246,0,F,1,1,7522,0,0,35.3692,0,1,1,0,0,0,1,1,0,0,0,0,9171,0,1,68.4186,0,1,1,0,0,0,1,1,0,0,0,0
10,6,53.0836,0,F,1,1,8728,0,0,20.7946,0,1,1,0,0,0,1,1,0,0,0,0,12392,0,1,58.5907,0,1,1,0,0,0,1,1,0,0,0,0
11,6,14.4275,0,F,1,1,10713,0,0,59.8391,0,1,1,0,0,0,1,1,0,0,0,0,15347,1,1,32.3247,0,1,1,0,0,0,1,1,0,0,0,0
12,6,311.943,0,F,1,1,11027,0,0,55.6505,0,1,1,0,0,0,1,1,0,0,0,0,2276,0,1,27.8737,0,1,1,0,0,0,1,1,0,0,0,0
13,6,249.323,0,F,1,1,11343,0,0,74.3572,0,1,1,0,0,0,1,1,0,0,0,0,2810,0,1,40.5325,0,1,1,0,0,0,1,1,0,0,0,0
14,6,257.115,0,F,1,1,13596,0,0,22.3905,0,1,1,0,0,0,1,1,0,0,0,0,15253,0,1,61.6274,0,1,1,0,0,0,1,1,0,0,0,0
15,6,609.791,0,F,1,1,22,0,0,83.1779,0,1,1,0,0,0,1,1,0,0,0,0,6232,0,1,20.2292,0,1,1,0,0,0,1,1,0,0,0,0
16,6,298.432,0,F,1,1,1604,0,0,58.8683,0,1,1,0,0,0,1,1,0,0,0,0,6291,0,1,18.8505,0,1,1,0,0,0,1,1,0,0,0,0
17,6,166.979,0,F,1,1,2723,0,0,28.3346,0,1,1,0,0,0,1,1,0,0,0,0,2908,0,1,69.4177,0,1,1,0,0,0,1,1,0,0,0,0
18,6,335.267,0,F,1,1,3629,0,0,30.9083,0,1,1,0,0,0,1,1,0,0,0,0,9546,0,1,80.761,0,1,1,0,0,0,1,1,0,0,0,0
