
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178449,0.00178449,0.00171125,0.00171125,0.00178449,0.00178449,0.00171125,0.00171125,0.000792912,0.000792912,0.000792912,0.000741773,0.000741773,0.000741773,0.000792912,0.000792912,0.000792912,0.000741773,0.000741773,0.000741773,9.29164e-05,8.97852e-05,9.29164e-05,8.97852e-05,0,0,0,0,0,0,0,0,6.75429,6.75429,6.75429,6.75429,2.34623,2.34623,2.34623,2.34623,2.34623,2.34623,0.450273,0.450273,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178134,0.00178134,0.00170802,0.00170802,0.00178134,0.00178134,0.00170802,0.00170802,0.000792158,0.000792158,0.000792158,0.000740419,0.000740419,0.000740419,0.000792158,0.000792158,0.000792158,0.000740419,0.000740419,0.000740419,9.29626e-05,8.97422e-05,9.29626e-05,8.97422e-05,0,0,0,0,0,0,0,0,6.72278,6.72278,6.72278,6.72278,2.33528,2.33528,2.33528,2.33528,2.33528,2.33528,0.448173,0.448173,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177814,0.00177814,0.00170653,0.00170653,0.00177814,0.00177814,0.00170653,0.00170653,0.000790458,0.000790458,0.000790458,0.000739672,0.000739672,0.000739672,0.000790458,0.000790458,0.000790458,0.000739672,0.000739672,0.000739672,9.29599e-05,8.97447e-05,9.29599e-05,8.97447e-05,0,0,0,0,0,0,0,0,6.6947,6.6947,6.6947,6.6947,2.32553,2.32553,2.32553,2.32553,2.32553,2.32553,0.4463,0.4463,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177729,0.00177729,0.00170328,0.00170328,0.00177729,0.00177729,0.00170328,0.00170328,0.000790366,0.000790366,0.000790366,0.000737977,0.000737977,0.000737977,0.000790366,0.000790366,0.000790366,0.000737977,0.000737977,0.000737977,9.3035e-05,8.96748e-05,9.3035e-05,8.96748e-05,0,0,0,0,0,0,0,0,6.66662,6.66662,6.66662,6.66662,2.31577,2.31577,2.31577,2.31577,2.31577,2.31577,0.444428,0.444428,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177413,0.00177413,0.00169869,0.00169869,0.00177413,0.00177413,0.00169869,0.00169869,0.000789458,0.000789458,0.000789458,0.000735987,0.000735987,0.000735987,0.000789458,0.000789458,0.000789458,0.000735987,0.000735987,0.000735987,9.29562e-05,8.97482e-05,9.29562e-05,8.97482e-05,0,0,0,0,0,0,0,0,6.63169,6.63169,6.63169,6.63169,2.30364,2.30364,2.30364,2.30364,2.30364,2.30364,0.442099,0.442099,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177344,0.00177344,0.00169428,0.00169428,0.00177344,0.00177344,0.00169428,0.00169428,0.000789443,0.000789443,0.000789443,0.000733884,0.000733884,0.000733884,0.000789443,0.000789443,0.000789443,0.000733884,0.000733884,0.000733884,9.3022e-05,8.96869e-05,9.3022e-05,8.96869e-05,0,0,0,0,0,0,0,0,6.60429,6.60429,6.60429,6.60429,2.29412,2.29412,2.29412,2.29412,2.29412,2.29412,0.440273,0.440273,0,0,0,0
6,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00177168,0.00177168,0.00169325,0.00169325,0.00177168,0.00177168,0.00169325,0.00169325,0.000788502,0.000788502,0.000788502,0.000733102,0.000733102,0.000733102,0.000788502,0.000788502,0.000788502,0.000733102,0.000733102,0.000733102,9.30683e-05,8.96439e-05,9.30683e-05,8.96439e-05,0,0,0,0,0,0,0,0,6.57826,6.57826,6.57826,6.57826,2.28508,2.28508,2.28508,2.28508,2.28508,2.28508,0.438538,0.438538,0,0,0,0
7,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00176888,0.00176888,0.00169211,0.00169211,0.00176888,0.00176888,0.00169211,0.00169211,0.000787037,0.000787037,0.000787037,0.000732794,0.000732794,0.000732794,0.000787037,0.000787037,0.000787037,0.000732794,0.000732794,0.000732794,9.30859e-05,8.96276e-05,9.30859e-05,8.96276e-05,0,0,0,0,0,0,0,0,6.55018,6.55018,6.55018,6.55018,2.27532,2.27532,2.27532,2.27532,2.27532,2.27532,0.436666,0.436666,0,0,0,0
8,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00176633,0.00176633,0.0016895,0.0016895,0.00176633,0.00176633,0.0016895,0.0016895,0.000785895,0.000785895,0.000785895,0.00073208,0.00073208,0.00073208,0.000785895,0.000785895,0.000785895,0.00073208,0.00073208,0.00073208,9.31028e-05,8.96119e-05,9.31028e-05,8.96119e-05,0,0,0,0,0,0,0,0,6.52483,6.52483,6.52483,6.52483,2.26652,2.26652,2.26652,2.26652,2.26652,2.26652,0.434976,0.434976,0,0,0,0
9,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00176329,0.00176329,0.00168818,0.00168818,0.00176329,0.00176329,0.00168818,0.00168818,0.000784202,0.000784202,0.000784202,0.0007316,0.0007316,0.0007316,0.000784202,0.000784202,0.000784202,0.0007316,0.0007316,0.0007316,9.298e-05,8.9726e-05,9.298e-05,8.9726e-05,0,0,0,0,0,0,0,0,6.49949,6.49949,6.49949,6.49949,2.25772,2.25772,2.25772,2.25772,2.25772,2.25772,0.433287,0.433287,0,0,0,0
