Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,6,161.459,0,1,1,665,1,0,18.277,1,1,0,0,0,1,1,0,0,0,0,3693,0,1,16.9936,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
2,6,486.607,0,1,1,1344,0,0,28.6728,1,1,0,0,0,1,1,0,0,0,0,164,0,1,52.3394,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
3,6,347.367,0,1,1,1761,0,0,19.508,1,1,0,0,0,1,1,0,0,0,0,1356,0,1,85.0906,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
4,6,575.81,0,1,1,4400,0,0,15.7831,1,1,0,0,0,1,1,0,0,0,0,4208,0,1,17.0209,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-No
5,6,197.997,0,1,1,5744,0,0,21.1449,1,1,0,0,0,1,1,0,0,0,0,9137,0,1,36.8549,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
6,6,176.382,0,1,1,6780,0,0,18.2141,1,1,0,0,0,1,1,0,0,0,0,10214,0,1,27.1349,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
7,6,581.26,0,1,1,8589,0,0,24.9579,1,1,0,0,0,1,1,0,0,0,0,11975,0,1,42.1962,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
8,6,109.564,0,1,1,11180,0,0,28.9522,1,1,0,0,0,1,1,0,0,0,0,41,0,1,43.2655,1,1,0,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
9,6,153.176,0,1,1,11516,0,0,36.3377,1,1,0,0,0,1,1,0,0,0,0,3542,1,1,22.5727,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
10,6,239.327,0,1,1,12020,0,0,45.1072,1,1,0,0,0,1,1,0,0,0,0,8173,0,1,27.2047,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
11,6,534.948,0,1,1,12179,1,0,22.1255,1,1,0,0,0,1,1,0,0,0,0,8691,0,1,30.3634,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
12,6,540.724,0,1,1,13343,0,0,17.4718,1,1,0,0,0,1,1,0,0,0,0,6171,1,1,17.3922,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
13,6,115.347,0,1,1,13729,0,0,37.8463,1,1,0,0,0,1,1,0,0,0,0,9009,0,1,17.769,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
14,6,22.7321,0,1,1,666,0,0,24.4235,1,1,0,0,0,1,1,0,0,0,0,11313,0,1,19.6889,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-No
15,6,714.785,0,1,1,2226,0,0,53.661,1,1,0,0,0,1,1,0,0,0,0,8960,1,1,22.1562,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
16,6,230.828,0,1,1,2653,0,0,41.853,1,1,0,0,0,1,1,0,0,0,0,733,1,1,16.7064,1,1,0,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
17,6,355.207,0,1,1,3162,0,0,28.5798,1,1,0,0,0,1,1,0,0,0,0,13441,0,1,52.1069,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
18,6,919.168,0,1,1,5493,0,0,18.8853,1,1,0,0,0,1,1,0,0,0,0,1527,0,1,18.2713,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
19,6,33.8675,0,1,1,7660,0,0,43.8546,1,1,0,0,0,1,1,0,0,0,0,296,0,1,46.955,1,1,0,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-Yes
20,6,378.38,0,1,1,8946,0,0,58.0325,1,1,0,0,0,1,1,0,0,0,0,343,0,1,44.1782,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
21,6,188.214,0,1,1,9898,0,0,18.0073,1,1,0,0,0,1,1,0,0,0,0,3155,1,1,19.8996,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
22,6,119.327,0,1,1,10671,0,0,58.9396,1,1,0,0,0,1,1,0,0,0,0,5661,0,1,43.2772,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
23,6,27.2283,0,1,1,11876,1,0,19.0428,1,1,0,0,0,1,1,0,0,0,0,6007,0,1,17.7084,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-No
24,6,78.5859,0,1,1,12076,0,0,46.9083,1,1,0,0,0,1,1,0,0,0,0,9980,0,1,58.6339,1,1,0,0,0,1,1,0,0,0,0,Accessibility-No,Accessibility-No
25,6,571.438,0,1,1,12124,0,0,54.2698,1,1,0,0,0,1,1,0,0,0,0,9915,0,1,16.2513,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
26,6,238.288,0,1,1,13333,0,0,62.9463,1,1,0,0,0,1,1,0,0,0,0,10528,0,1,20.1669,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
27,6,328.228,0,1,1,114,0,0,42.5644,1,1,0,0,0,1,1,0,0,0,0,17081,0,1,45.756,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
28,6,1043.44,0,1,1,770,1,0,25.6689,1,1,0,0,0,1,1,0,0,0,0,15742,0,1,15.104,1,1,0,0,0,1,1,0,0,0,0,Accessibility-Yes,Accessibility-Yes
