Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
2,2,0,28.6064,29,0,107,227,21.5958,21.9894,BROKEUP
13,4,1,35.8423,36,0,250,154,29.4875,16.7668,BROKEUP
43,4,12,44.2889,45,0,57,173,18.7511,16.1502,BROKEUP
40,3,9,105.421,106,1,109,313,35.2291,24.9557,BROKEUP
6,2,1,129.223,130,0,20,152,28.2213,20.7401,BROKEUP
12,3,1,142.909,143,0,182,138,36.5141,37.3479,BROKEUP
32,1,5,152.782,153,0,176,112,28.0648,22.7559,BROKEUP
25,2,3,190.717,191,0,186,222,37.6723,26.9907,BROKEUP
24,1,3,195.071,196,0,148,284,28.3636,22.818,BROKEUP
57,4,42,221.776,222,0,145,271,21.9533,18.4672,BROKEUP
48,1,17,223.678,224,1,174,302,45.9959,31.101,BROKEUP
53,3,30,255.464,256,1,84,227,24.9536,22.6113,BROKEUP
27,2,4,257.077,258,0,64,60,19.5827,17.1525,BROKEUP
11,2,1,273.354,274,1,263,255,42.0541,36.7613,BROKEUP
1,1,0,285.628,286,0,83,127,28.1739,19.4015,BROKEUP
28,1,4,292.728,293,0,211,19,31.6284,24.2487,BROKEUP
16,1,2,331.452,332,0,281,225,23.1367,20.5566,BROKEUP
8,1,1,333.474,334,1,76,200,19.2532,18.2854,BROKEUP
3,1,0,336.553,337,0,126,46,19.8162,22.2481,BROKEUP
76,4,212,346.934,347,0,148,313,28.7773,25.616,BROKEUP
41,1,9,354.984,355,1,50,254,29.2512,23.892,BROKEUP
55,2,39,356.313,357,0,71,63,39.0166,26.5561,BROKEUP
21,1,2,356.017,357,0,322,326,22.7654,17.237,BROKEUP
15,1,2,375.822,376,0,81,13,23.2777,15.9104,BROKEUP
35,2,5,380.389,381,0,106,90,31.2071,25.4557,BROKEUP
83,4,243,421.814,422,0,272,87,65.1287,66.3887,BROKEUP
78,1,226,452.547,453,0,29,271,21.3392,19.1,BROKEUP
17,2,2,459.746,460,1,293,237,36.3387,25.547,BROKEUP
71,1,135,461.961,462,0,187,152,29.9462,21.6497,BROKEUP
87,1,284,483.66,484,0,182,227,37.4483,23.236,BROKEUP
31,1,5,501.729,502,1,10,213,26.4293,24.4754,BROKEUP
37,3,6,512.576,513,0,282,280,21.9923,18.6122,BROKEUP
80,1,230,529.512,530,0,201,311,20.9626,17.9074,BROKEUP
112,2,500,545.922,546,0,64,271,20.3717,19.3548,BROKEUP
39,1,9,547.13,548,0,257,141,20.9559,18.3698,BROKEUP
66,1,106,548.536,549,0,341,223,38.5852,35.2835,BROKEUP
115,2,547,560.337,561,0,145,271,22.8821,19.3959,BROKEUP
9,1,1,569.813,570,2,208,288,43.9171,45.476,BROKEUP
75,2,203,605.074,606,0,205,4,31.8388,33.9597,BROKEUP
110,1,482,608.116,609,0,57,177,20.2963,15.2274,BROKEUP
108,1,468,626.236,627,0,281,222,23.945,28.1853,BROKEUP
63,2,50,678.425,679,1,215,340,35.5399,33.9888,BROKEUP
109,1,469,681.188,682,0,187,254,30.5489,24.7879,BROKEUP
117,2,561,683.005,684,0,201,271,21.3845,19.7329,BROKEUP
81,1,231,692.959,693,0,176,112,29.5443,24.2354,BROKEUP
120,2,608,698.067,699,0,83,213,29.3054,25.0151,BROKEUP
52,1,25,707.108,708,1,190,30,41.2458,32.2184,BROKEUP
97,3,348,749.62,750,0,84,225,26.307,21.7018,BROKEUP
85,3,258,751.939,752,1,220,58,44.127,29.7915,BROKEUP
107,1,462,752.309,753,0,330,315,20.3359,15.9747,BROKEUP
56,1,42,756.91,757,1,43,154,24.1277,18.7421,BROKEUP
127,2,699,780.974,781,0,205,237,32.3182,26.4265,BROKEUP
49,2,19,783.947,784,1,320,316,39.8869,31.2637,BROKEUP
103,2,404,785.287,786,1,85,60,24.3831,18.599,BROKEUP
42,1,10,789.456,790,2,325,73,61.0832,71.0217,BROKEUP
102,2,382,794.877,795,2,20,200,30.0432,19.5484,BROKEUP
136,1,798,805.357,806,0,93,60,17.3034,18.6538,BROKEUP
133,1,767,831.023,832,1,330,154,20.5524,18.9476,BROKEUP
4,3,0,833.312,834,1,202,150,35.394,24.8308,BROKEUP
92,1,306,838.635,839,0,306,128,21.5365,17.4414,BROKEUP
134,3,794,850.827,851,0,281,225,24.5587,21.9785,BROKEUP
114,1,528,893.938,894,0,106,280,32.6126,19.656,BROKEUP
122,2,611,903.535,904,1,291,15,17.2689,16.229,BROKEUP
104,1,408,905.929,906,1,32,13,20.1781,17.3624,BROKEUP
99,1,368,919.586,920,1,117,183,28.0847,33.0574,BROKEUP
143,2,864,920.83,921,0,196,128,16.877,17.666,BROKEUP
149,1,930,949.353,950,0,182,183,38.7251,33.1395,BROKEUP
147,1,918,955.79,956,0,106,90,32.7824,27.0311,BROKEUP
150,4,935,968.115,969,0,93,280,17.7499,19.8615,BROKEUP
100,1,370,987.966,988,1,107,326,24.2232,18.9657,BROKEUP
47,1,16,1003.99,1004,2,28,35,39.3362,29.5037,BROKEUP
5,3,1,1014.67,1015,1,113,337,32.969,22.6344,BROKEUP
7,1,1,1015.83,1016,1,44,188,37.467,28.7723,BROKEUP
141,3,855,1046.87,1047,0,306,154,22.1063,19.5367,BROKEUP
124,2,643,1051.92,1052,0,257,177,22.3368,16.4411,BROKEUP
138,2,801,1067.86,1068,0,64,166,21.8019,15.8493,BROKEUP
10,2,1,1070.63,1071,0,139,327,18.764,16.3381,BROKEUP
126,2,685,1075.01,1076,0,242,271,20.0551,20.8069,BROKEUP
105,2,420,1084.6,1085,0,72,198,22.8574,17.8359,BROKEUP
101,1,379,1091.62,1092,0,322,46,24.7791,24.3165,BROKEUP
59,2,47,1110.5,1111,1,250,199,32.4327,29.7086,BROKEUP
144,3,895,1125.08,1126,0,176,213,30.7306,26.185,BROKEUP
46,4,15,1127.51,1128,2,317,301,43.4275,32.8838,BROKEUP
29,1,4,1127.44,1128,1,159,279,23.2266,21.0785,BROKEUP
128,3,712,1138.42,1139,0,126,264,22.0134,14.3723,BROKEUP
137,3,798,1162.26,1163,1,43,200,25.24,20.5567,BROKEUP
89,2,289,1172.41,1173,1,42,127,19.844,21.8317,BROKEUP
155,2,980,1179.21,1180,0,196,280,17.5866,20.4396,BROKEUP
111,3,484,1194.8,1195,1,193,80,21.1825,18.5424,BROKEUP
123,1,615,1229.42,1230,0,81,311,25.6175,19.8252,BROKEUP
64,1,50,1253.49,1254,2,122,305,27.788,24.7139,BROKEUP
170,3,1152,1278.08,1279,0,126,344,22.397,16.5961,BROKEUP
26,2,3,1281.96,1282,1,230,286,33.9929,24.8581,BROKEUP
116,2,557,1296.36,1297,1,148,63,31.38,29.1315,BROKEUP
65,3,54,1297.65,1298,2,261,304,32.5954,28.9827,BROKEUP
171,4,1162,1300.69,1301,0,242,264,20.6715,14.8162,BROKEUP
166,3,1098,1324.81,1325,0,202,58,36.7392,31.3614,BROKEUP
145,2,907,1324.04,1325,1,29,15,23.7283,17.3824,BROKEUP
96,1,347,1325.55,1326,1,211,313,34.4585,28.2982,BROKEUP
161,4,1066,1339.55,1340,1,257,154,23.1258,20.3394,BROKEUP
187,2,1310,1349.65,1350,0,81,311,25.9462,20.154,BROKEUP
91,2,304,1355.96,1356,1,263,238,45.0185,41.46,BROKEUP
169,4,1128,1357.59,1358,1,93,271,18.8157,21.5795,BROKEUP
168,3,1122,1362.55,1363,0,72,90,23.619,28.1461,BROKEUP
153,1,962,1362.41,1363,1,83,150,31.1246,26.2801,BROKEUP
183,1,1281,1379.06,1380,0,126,334,22.6737,16.7365,BROKEUP
61,4,49,1391.96,1392,1,140,173,23.4947,19.8407,BROKEUP
167,2,1098,1391.55,1392,1,205,198,33.9922,18.677,BROKEUP
140,2,841,1424.82,1425,0,85,60,26.1338,20.3497,BROKEUP
200,2,1399,1424.02,1425,0,211,313,34.7297,28.5694,BROKEUP
196,2,1378,1425.62,1426,0,29,271,24.005,21.7658,BROKEUP
142,1,857,1428.12,1429,1,57,225,22.5428,23.5621,BROKEUP
164,3,1092,1436.53,1437,0,44,46,38.6204,25.2618,BROKEUP
184,3,1304,1449.99,1450,0,193,274,21.8811,17.2583,BROKEUP
176,1,1214,1452.81,1453,1,32,188,21.6767,29.9695,BROKEUP
148,1,922,1500.35,1501,1,282,128,24.6991,19.2551,BROKEUP
197,1,1380,1506.5,1507,0,42,143,20.7591,14.9615,BROKEUP
159,1,1046,1530.31,1531,1,330,342,22.4674,17.9142,BROKEUP
195,1,1375,1538.8,1539,0,139,262,20.0462,15.5514,BROKEUP
157,2,1024,1548.03,1549,0,106,337,34.4071,24.0975,BROKEUP
135,2,795,1578.68,1579,1,201,315,23.8365,18.2377,BROKEUP
180,2,1273,1584.82,1585,0,322,19,26.1298,27.7884,BROKEUP
72,3,139,1587.74,1588,2,134,68,69.5287,66.512,BROKEUP
214,4,1582,1594.2,1595,0,201,274,23.8804,17.6556,BROKEUP
162,1,1076,1594.93,1595,0,64,177,23.2457,17.9288,BROKEUP
125,3,646,1604.57,1605,1,145,118,25.7423,18.7684,BROKEUP
190,1,1354,1610.28,1611,0,257,264,23.8683,15.6655,BROKEUP
177,4,1221,1611.32,1612,1,306,280,23.6543,21.6231,BROKEUP
118,2,585,1613.75,1614,1,76,141,22.7601,21.2904,BROKEUP
202,4,1432,1617.57,1618,1,126,173,23.3258,20.4598,BROKEUP
209,1,1527,1628.06,1629,0,57,271,23.0908,22.3219,BROKEUP
191,1,1358,1638.04,1639,0,81,154,26.738,21.1586,BROKEUP
199,1,1396,1663.07,1664,0,72,198,24.4437,19.4222,BROKEUP
165,2,1095,1670.61,1671,1,117,35,30.1422,31.3311,BROKEUP
163,2,1088,1677.02,1678,1,335,166,20.5774,17.5205,BROKEUP
113,1,502,1711.12,1712,1,10,152,29.7443,25.0744,BROKEUP
186,2,1306,1716.77,1717,1,148,304,32.5307,30.1306,BROKEUP
90,1,294,1720.25,1721,1,186,98,41.8641,34.4696,BROKEUP
173,2,1188,1738,1738,1,159,127,24.8978,23.3796,BROKEUP
175,1,1194,1744.91,1745,1,196,279,19.1346,22.7689,BROKEUP
188,1,1332,1746.96,1747,0,113,301,34.9745,34.5797,BROKEUP
179,1,1269,1747.41,1748,1,103,283,18.0516,16.1326,BROKEUP
207,2,1522,1751.03,1752,0,193,7,22.7085,15.6303,BROKEUP
217,3,1595,1761.52,1762,0,64,59,23.7033,17.3549,BROKEUP
204,4,1443,1763.6,1764,1,169,240,19.081,14.9476,BROKEUP
208,1,1523,1775.07,1776,1,29,143,24.9639,15.6985,BROKEUP
185,2,1306,1798.49,1799,1,122,213,29.2811,28.0288,BROKEUP
224,1,1629,1810.18,1811,0,57,280,23.5894,22.1683,BROKEUP
213,4,1563,1825.8,1826,0,261,227,34.042,26.9127,BROKEUP
239,1,1762,1829.08,1830,0,113,315,35.2019,18.9254,BROKEUP
58,4,45,1830.78,1831,2,338,285,32.5189,28.411,BROKEUP
219,1,1606,1839.9,1840,0,329,128,18.4664,20.1838,BROKEUP
222,1,1610,1845.35,1846,0,282,177,25.6443,18.6165,BROKEUP
225,1,1631,1870.25,1871,0,306,173,24.3639,21.153,BROKEUP
178,3,1253,1882.2,1883,1,12,80,17.4692,20.4273,BROKEUP
212,4,1553,1885.23,1886,1,202,199,38.2762,31.8319,BROKEUP
216,1,1585,1890.66,1891,1,140,254,24.8618,28.1002,BROKEUP
205,3,1456,1905.68,1906,0,32,150,22.9178,27.7678,BROKEUP
221,1,1610,1906.02,1907,0,201,118,24.7352,19.5957,BROKEUP
189,2,1333,1911.22,1912,1,28,58,41.8238,32.9696,BROKEUP
88,1,286,1927.08,1928,1,192,295,24.8987,21.2038,BROKEUP
206,1,1518,1932.31,1933,1,230,46,35.7764,26.6207,BROKEUP
172,2,1168,1933.91,1934,1,176,200,32.9443,22.669,BROKEUP
160,4,1064,1948.44,1949,1,277,237,33.691,29.6265,BROKEUP
