Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,178.733,0,F,1,1,428,0,0,16.8695,0,1,1,0,0,0,1,1,0,0,0,0,5734,0,1,15.7295,0,1,1,0,0,0,1,1,0,0,0,0
2,0,270.846,0,F,1,1,2288,0,0,19.4663,0,1,1,0,0,0,1,1,0,0,0,0,8331,0,1,20.7015,0,1,1,0,0,0,1,1,3,0,0,0
3,0,565.703,0,F,1,1,2610,0,0,21.7207,0,1,1,0,0,0,1,1,1,0,0,0,8841,0,1,16.2674,0,1,1,0,0,0,1,1,0,0,0,0
4,0,138.399,0,F,1,1,9564,0,0,16.6499,0,1,1,0,0,0,1,1,0,0,0,0,10410,0,1,17.3584,0,1,1,0,0,0,1,1,0,0,0,0
5,0,508.404,0,F,1,1,11734,0,0,26.8172,0,1,1,0,0,0,1,1,0,0,0,0,15185,0,1,21.0083,0,1,1,0,0,0,1,1,0,0,0,0
6,0,273.375,0,F,1,1,17234,0,0,22.4017,0,1,1,0,0,0,1,1,0,0,0,0,7220,0,1,23.2018,0,1,1,0,0,0,1,1,3,0,0,0
7,0,683.543,1,F,1,1,3532,0,0,23.9841,0,1,0,1,0,0,1,1,0,0,0,0,16583,0,1,19.0037,0,1,0,1,0,0,1,1,0,0,0,0
8,0,200.799,1,F,1,1,7054,0,0,31.1188,0,1,0,1,0,0,1,1,3,0,0,0,4105,0,1,23.592,0,1,0,1,0,0,1,1,1,0,0,0
9,0,836.087,1,F,1,1,9508,0,0,18.6455,0,1,0,1,0,0,1,1,0,0,0,0,8781,0,1,17.2055,0,1,0,1,0,0,1,1,0,0,0,0
10,0,595.507,1,F,1,1,15238,0,0,33.5102,0,1,0,1,0,0,1,1,1,0,0,0,1815,0,1,31.5863,0,1,0,1,0,0,1,1,1,0,0,0
11,1,949.465,0,F,1,1,2500,1,0,24.9875,0,1,1,0,0,0,1,1,3,0,0,0,11144,1,1,20.1448,0,1,1,0,0,0,1,1,1,0,0,0
12,1,90.3382,0,F,1,1,4803,0,0,41.5511,0,1,1,0,0,0,1,1,0,0,0,0,855,0,1,46.2508,0,1,1,0,0,0,1,1,1,0,0,0
13,1,1188.59,0,F,1,1,6312,1,0,21.2587,0,1,1,0,0,0,1,1,0,0,0,0,12103,1,1,19.4446,0,1,1,0,0,0,1,1,3,0,0,0
14,1,98.0949,0,F,1,1,12583,0,0,41.8261,0,1,1,0,0,0,1,1,1,0,0,0,2158,0,1,31.8398,0,1,1,0,0,0,1,1,1,0,0,0
15,1,55.5104,0,F,1,1,13887,1,0,17.7935,0,1,1,0,0,0,1,1,3,0,0,0,2885,1,1,18.4107,0,1,1,0,0,0,1,1,0,0,0,0
16,1,957.718,0,F,1,1,15572,1,0,19.9702,0,1,1,0,0,0,1,1,1,0,0,0,1280,1,1,16.5801,0,1,1,0,0,0,1,1,1,0,0,0
17,1,809.061,1,F,1,1,13875,1,0,22.7235,0,1,0,1,0,0,1,1,1,0,0,0,1991,1,1,18.91,0,1,0,1,0,0,1,1,3,0,0,0
18,1,566.185,1,F,1,1,1686,1,0,16.4188,0,1,0,1,0,0,1,1,1,0,0,0,11157,0,1,17.4107,0,1,0,1,0,0,1,1,1,0,0,0
19,1,526.849,1,F,1,1,6886,1,0,21.7461,0,1,0,1,0,0,1,1,0,0,0,0,116,1,1,22.9904,0,1,0,1,0,0,1,1,1,0,0,0
20,1,998.806,1,F,1,1,6996,0,0,30.6098,0,1,0,1,0,0,1,1,3,0,0,0,10906,0,1,27.0342,0,1,0,1,0,0,1,1,1,0,0,0
21,1,573.879,1,F,1,1,8421,0,0,32.9244,0,1,0,1,0,0,1,1,1,0,0,0,168,1,1,22.4618,0,1,0,1,0,0,1,1,1,0,0,0
22,1,369.859,1,F,1,1,13588,0,0,29.9363,0,1,0,1,0,0,1,1,0,0,0,0,10499,0,1,28.3619,0,1,0,1,0,0,1,1,0,0,0,0
23,2,82.3329,0,F,1,1,429,0,0,25.1362,0,1,1,0,0,0,1,1,0,0,0,0,5445,1,1,19.8624,0,1,1,0,0,0,1,1,0,0,0,0
24,2,376.62,0,F,1,1,822,0,0,27.0402,0,1,1,0,0,0,1,1,1,0,0,0,12730,1,1,19.7395,0,1,1,0,0,0,1,1,0,0,0,0
25,2,563.226,0,F,1,1,2987,0,0,28.9451,0,1,1,0,0,0,1,1,0,0,0,0,4793,1,1,15.7856,0,1,1,0,0,0,1,1,1,0,0,0
26,2,276.611,0,F,1,1,4224,0,0,29.0205,0,1,1,0,0,0,1,1,0,0,0,0,7550,1,1,23.6716,0,1,1,0,0,0,1,1,0,0,0,0
27,2,568.419,0,F,1,1,5409,0,0,31.8717,0,1,1,0,0,0,1,1,0,0,0,0,15653,0,1,27.3823,0,1,1,0,0,0,1,1,3,0,0,0
28,2,161.497,0,F,1,1,5565,1,0,15.8966,0,1,1,0,0,0,1,1,3,0,0,0,5597,1,1,17.0839,0,1,1,0,0,0,1,1,1,0,0,0
29,2,191.171,0,F,1,1,7806,0,0,43.2278,0,1,1,0,0,0,1,1,1,0,0,0,12726,1,1,21.046,0,1,1,0,0,0,1,1,1,0,0,0
30,2,29.4582,0,F,1,1,8878,0,0,37.4435,0,1,1,0,0,0,1,1,3,0,0,0,16810,0,1,32.3962,0,1,1,0,0,0,1,1,0,0,0,0
31,2,538.167,0,F,1,1,10386,0,0,25.5911,0,1,1,0,0,0,1,1,1,0,0,0,13526,1,1,18.0179,0,1,1,0,0,0,1,1,3,0,0,0
32,2,256.796,0,F,1,1,10439,0,0,25.9208,0,1,1,0,0,0,1,1,1,0,0,0,12429,0,1,14.5562,0,1,1,0,0,0,1,1,1,0,0,0
33,2,169.669,0,F,1,1,11618,0,0,26.6652,0,1,1,0,0,0,1,1,0,0,0,0,12719,1,1,17.063,0,1,1,0,0,0,1,1,1,0,0,0
34,2,210.273,0,F,1,1,12465,0,0,33.9198,0,1,1,0,0,0,1,1,0,0,0,0,16482,1,1,17.6759,0,1,1,0,0,0,1,1,1,0,0,0
35,2,254.9,0,F,1,1,14508,0,0,27.2746,0,1,1,0,0,0,1,1,3,0,0,0,10722,1,1,23.4643,0,1,1,0,0,0,1,1,3,0,0,0
36,2,251.103,0,F,1,1,16576,0,0,30.3184,0,1,1,0,0,0,1,1,0,0,0,0,16222,1,1,24.52,0,1,1,0,0,0,1,1,0,0,0,0
37,2,275.18,0,F,1,1,16857,0,0,28.4416,0,1,1,0,0,0,1,1,3,0,0,0,16306,0,1,23.2542,0,1,1,0,0,0,1,1,3,0,0,0
38,2,339.892,1,F,1,1,1678,0,0,44.8243,0,1,0,1,0,0,1,1,1,0,0,0,9118,0,1,41.1978,0,1,0,1,0,0,1,1,3,0,0,0
39,2,459.443,1,F,1,1,6240,0,0,26.6378,0,1,0,1,0,0,1,1,0,0,0,0,1450,0,1,21.1308,0,1,0,1,0,0,1,1,3,0,0,0
40,2,485.893,1,F,1,1,12023,0,0,25.7565,0,1,0,1,0,0,1,1,0,0,0,0,5220,1,1,20.6688,0,1,0,1,0,0,1,1,1,0,0,0
