Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,174.272,0,F,1,1,677,0,0,25.6799,0,1,1,0,0,0,1,1,1,0,0,0,15737,0,1,18.9261,0,1,1,0,0,0,1,1,0,0,0,0
2,0,54.8212,0,F,1,1,5803,0,0,39.1532,0,1,1,0,0,0,1,1,1,0,0,0,3346,0,1,35.9267,0,1,1,0,0,0,1,1,0,0,0,0
3,0,322.018,0,F,1,1,12131,0,0,23.1955,0,1,1,0,0,0,1,1,1,0,0,0,2692,0,1,21.2847,0,1,1,0,0,0,1,1,1,0,0,0
4,0,1195.31,0,F,1,1,12899,0,0,29.4642,0,1,1,0,0,0,1,1,0,0,0,0,4149,0,1,23.1528,0,1,1,0,0,0,1,1,0,0,0,0
5,0,248.989,0,F,1,1,16326,0,0,26.4439,0,1,1,0,0,0,1,1,0,0,0,0,11826,0,1,32.0035,0,1,1,0,0,0,1,1,3,0,0,0
6,0,964.097,1,F,1,1,3841,0,0,36.6164,0,1,0,1,0,0,1,1,0,0,0,0,1085,0,1,38.1973,0,1,0,1,0,0,1,1,7,0,0,0
7,0,1078.96,1,F,1,1,6522,0,0,36.2545,0,1,0,1,0,0,1,1,1,0,0,0,15118,0,1,33.0519,0,1,0,1,0,0,1,1,1,0,0,0
8,0,526.959,1,F,1,1,7456,0,0,31.4016,0,1,0,1,0,0,1,1,0,0,0,0,14609,0,1,17.9963,0,1,0,1,0,0,1,1,0,0,0,0
9,0,816.652,1,F,1,1,7829,0,0,18.4423,0,1,0,1,0,0,1,1,0,0,0,0,701,0,1,13.5118,0,1,0,1,0,0,1,1,0,0,0,0
10,1,750.959,0,F,1,1,742,0,0,38.9862,0,1,1,0,0,0,1,1,1,0,0,0,9027,1,1,23.5698,0,1,1,0,0,0,1,1,1,0,0,0
11,1,264.177,0,F,1,1,3030,1,0,22.6915,0,1,1,0,0,0,1,1,0,0,0,0,28,1,1,22.2482,0,1,1,0,0,0,1,1,0,0,0,0
12,1,170.683,0,F,1,1,3734,1,0,23.8796,0,1,1,0,0,0,1,1,0,0,0,0,2268,1,1,24.2853,0,1,1,0,0,0,1,1,1,0,0,0
13,1,633.215,0,F,1,1,3847,1,0,20.888,0,1,1,0,0,0,1,1,0,0,0,0,405,0,1,27.4743,0,1,1,0,0,0,1,1,0,0,0,0
14,1,335.601,0,F,1,1,6042,1,0,20.8192,0,1,1,0,0,0,1,1,7,0,0,0,8279,0,1,29.9476,0,1,1,0,0,0,1,1,1,0,0,0
15,1,435.616,0,F,1,1,8110,0,0,25.8502,0,1,1,0,0,0,1,1,0,0,0,0,4311,1,1,21.335,0,1,1,0,0,0,1,1,1,0,0,0
16,1,348.352,0,F,1,1,9984,0,0,31.7401,0,1,1,0,0,0,1,1,1,0,0,0,1910,1,1,15.5344,0,1,1,0,0,0,1,1,1,0,0,0
17,1,72.8628,0,F,1,1,10145,0,0,34.2931,0,1,1,0,0,0,1,1,0,0,0,0,12941,0,1,28.2623,0,1,1,0,0,0,1,1,1,0,0,0
18,1,47.1897,0,F,1,1,10163,0,0,29.7862,0,1,1,0,0,0,1,1,0,0,0,0,2912,0,1,31.9167,0,1,1,0,0,0,1,1,1,0,0,0
19,1,429.168,0,F,1,1,16932,0,0,31.0889,0,1,1,0,0,0,1,1,0,0,0,0,8178,1,1,20.7043,0,1,1,0,0,0,1,1,3,0,0,0
20,1,1019.81,1,F,1,1,5284,0,0,54.9951,0,1,0,1,0,0,1,1,0,0,0,0,16161,0,1,47.7972,0,1,0,1,0,0,1,1,1,0,0,0
21,1,939.622,1,F,1,1,10857,1,0,16.2408,0,1,0,1,0,0,1,1,3,0,0,0,9534,1,1,17.4219,0,1,0,1,0,0,1,1,0,0,0,0
22,1,236.463,1,F,1,1,12779,1,0,23.2387,0,1,0,1,0,0,1,1,3,0,0,0,9010,0,1,27.1213,0,1,0,1,0,0,1,1,1,0,0,0
23,1,858.657,1,F,1,1,3850,0,0,29.727,0,1,0,1,0,0,1,1,0,0,0,0,8556,1,1,22.814,0,1,0,1,0,0,1,1,3,0,0,0
24,1,986.465,1,F,1,1,4325,0,0,37.2805,0,1,0,1,0,0,1,1,3,0,0,0,16533,1,1,22.4791,0,1,0,1,0,0,1,1,1,0,0,0
25,1,250.239,1,F,1,1,10111,0,0,26.0265,0,1,0,1,0,0,1,1,3,0,0,0,15473,0,1,29.2588,0,1,0,1,0,0,1,1,1,0,0,0
26,2,305.626,0,F,1,1,4947,0,0,36.3782,0,1,1,0,0,0,1,1,0,0,0,0,7102,1,1,23.4126,0,1,1,0,0,0,1,1,0,0,0,0
27,2,199.3,0,F,1,1,4960,0,0,37.1696,0,1,1,0,0,0,1,1,1,0,0,0,2273,0,1,37.4458,0,1,1,0,0,0,1,1,0,0,0,0
28,2,26.9641,0,F,1,1,5780,0,0,27.4085,0,1,1,0,0,0,1,1,1,0,0,0,8737,0,1,26.1674,0,1,1,0,0,0,1,1,1,0,0,0
