Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,136.766,3,1,1,5412,0,0,18.5121,1,0,0,0,1,1,1,12,0,0,0,1132,0,1,21.5321,1,0,0,0,1,1,1,12,0,0,0,None,None
2,0,414.047,3,1,1,9463,0,0,54.9093,1,0,0,0,1,1,1,12,0,0,0,335,0,1,27.8172,1,0,0,0,1,1,1,8,0,0,0,None,None
3,0,481.997,3,1,1,13160,0,0,22.8004,1,0,0,0,1,1,1,0,0,0,0,168,0,1,40.3647,1,0,0,0,1,1,1,8,0,0,0,None,None
4,0,400.262,3,1,1,13637,0,0,14.8619,1,0,0,0,1,1,1,12,0,0,0,11103,0,1,34.0143,1,0,0,0,1,1,1,8,0,0,0,None,None
5,1,268.702,3,1,1,6687,0,0,46.1657,1,0,0,0,1,1,1,8,0,0,0,2084,0,1,36.0998,1,0,0,0,1,1,1,8,0,0,0,None,None
6,1,641.294,3,1,1,12836,0,0,61.2542,1,0,0,0,1,1,1,8,0,0,0,2540,0,1,36.1508,1,0,0,0,1,1,1,0,0,0,0,None,None
7,2,8598.03,2,1,1,11738,0,0,47.3784,1,0,0,1,0,1,1,8,0,0,0,303,0,1,43.8663,1,0,0,1,0,1,1,0,0,0,0,None,None
8,2,389.047,3,1,1,1524,0,0,50.5007,1,0,0,0,1,1,1,0,0,0,0,96,1,1,24.5196,1,0,0,0,1,1,1,12,0,0,0,None,None
9,2,131.456,3,1,1,2333,0,0,25.4404,1,0,0,0,1,1,1,0,0,0,0,9303,0,1,14.9346,1,0,0,0,1,1,1,12,0,0,0,None,None
10,2,700.138,3,1,1,2468,0,0,51.3655,1,0,0,0,1,1,1,8,0,0,0,13811,0,1,25.2055,1,0,0,0,1,1,1,8,0,0,0,None,None
11,2,113.831,3,1,1,6324,0,0,31.3824,1,0,0,0,1,1,1,8,0,0,0,10137,0,1,34.0441,1,0,0,0,1,1,1,0,0,0,0,None,None
12,2,68.609,3,1,1,6551,0,0,40.1802,1,0,0,0,1,1,1,12,0,0,0,2098,0,1,14.8429,1,0,0,0,1,1,1,12,0,0,0,None,None
13,3,468.761,3,1,1,9386,0,0,13.935,1,0,0,0,1,1,1,0,0,0,0,1036,0,1,33.7546,1,0,0,0,1,1,1,0,0,0,0,None,None
14,3,80.4212,3,1,1,14765,0,0,32.7259,1,0,0,0,1,1,1,12,0,0,0,5944,0,1,14.5903,1,0,0,0,1,1,1,0,0,0,0,None,None
15,3,195.417,3,1,1,1752,0,0,32.9166,1,0,0,0,1,1,1,8,0,0,0,9152,1,1,17.6102,1,0,0,0,1,1,1,8,0,0,0,None,None
16,3,658.828,3,1,1,4219,0,0,52.5348,1,0,0,0,1,1,1,12,0,0,0,8595,0,1,14.1292,1,0,0,0,1,1,1,8,0,0,0,None,None
17,4,34.6669,3,1,1,10364,0,0,35.2798,1,0,0,0,1,1,1,0,0,0,0,15301,1,1,21.7114,1,0,0,0,1,1,1,0,0,0,0,None,None
18,4,307.929,3,1,1,3442,1,0,20.981,1,0,0,0,1,1,1,0,0,0,0,15398,1,1,18.0991,1,0,0,0,1,1,1,12,0,0,0,None,None
19,4,212.938,3,1,1,6751,0,0,54.2149,1,0,0,0,1,1,1,8,0,0,0,16897,0,1,79.8647,1,0,0,0,1,1,1,12,0,0,0,None,None
20,4,376.44,3,1,1,16922,0,0,67.584,1,0,0,0,1,1,1,0,0,0,0,1792,0,1,34.6079,1,0,0,0,1,1,1,8,0,0,0,None,None
21,5,199.74,3,1,1,9558,0,0,35.2153,1,0,0,0,1,1,1,8,0,0,0,9583,0,1,15.746,1,0,0,0,1,1,1,0,0,0,0,None,None
22,5,369.406,3,1,1,15012,0,0,36.177,1,0,0,0,1,1,1,8,0,0,0,8593,0,1,14.8812,1,0,0,0,1,1,1,8,0,0,0,None,None
23,5,153.653,3,1,1,15100,0,0,36.3068,1,0,0,0,1,1,1,12,0,0,0,17224,0,1,32.8861,1,0,0,0,1,1,1,12,0,0,0,None,None
24,5,92.809,3,1,1,3828,0,0,77.2104,1,0,0,0,1,1,1,12,0,0,0,10288,0,1,14.1867,1,0,0,0,1,1,1,8,0,0,0,None,None
25,5,149.076,3,1,1,6195,0,0,42.8671,1,0,0,0,1,1,1,0,0,0,0,14000,0,1,14.781,1,0,0,0,1,1,1,0,0,0,0,None,None
26,5,709.388,3,1,1,11736,0,0,59.6889,1,0,0,0,1,1,1,0,0,0,0,8523,0,1,74.0126,1,0,0,0,1,1,1,0,0,0,0,None,None
27,6,324.274,3,1,1,13886,1,0,23.1504,1,0,0,0,1,1,1,12,0,0,0,12968,0,1,13.9003,1,0,0,0,1,1,1,8,0,0,0,None,None
28,6,160.494,3,1,1,2421,0,0,60.8854,1,0,0,0,1,1,1,8,0,0,0,11850,0,1,32.6215,1,0,0,0,1,1,1,12,0,0,0,None,None
29,6,543.018,3,1,1,2759,0,0,34.3781,1,0,0,0,1,1,1,8,0,0,0,12128,0,1,27.4029,1,0,0,0,1,1,1,0,0,0,0,None,None
30,6,23.3678,3,1,1,4261,0,0,50.1651,1,0,0,0,1,1,1,12,0,0,0,3207,0,1,48.831,1,0,0,0,1,1,1,8,0,0,0,None,None
31,6,394.771,3,1,1,4356,0,0,32.2805,1,0,0,0,1,1,1,12,0,0,0,5013,1,1,18.271,1,0,0,0,1,1,1,12,0,0,0,None,None
32,6,507.444,3,1,1,8811,1,0,22.4178,1,0,0,0,1,1,1,8,0,0,0,16590,0,1,30.3202,1,0,0,0,1,1,1,8,0,0,0,None,None
33,7,7191.75,2,1,1,6915,0,0,40.0486,1,0,0,1,0,1,1,8,0,0,0,9141,0,1,30.5058,1,0,0,1,0,1,1,0,0,0,0,None,None
34,7,1467.62,2,1,1,12844,0,0,38.7488,1,0,0,1,0,1,1,0,0,0,0,798,0,1,42.7916,1,0,0,1,0,1,1,8,0,0,0,None,None
35,7,568.973,3,1,1,10010,0,0,50.7941,1,0,0,0,1,1,1,0,0,0,0,3365,1,1,21.8989,1,0,0,0,1,1,1,8,0,0,0,None,None
36,7,958.445,3,1,1,14074,0,0,49.4567,1,0,0,0,1,1,1,0,0,0,0,6110,0,1,14.2,1,0,0,0,1,1,1,0,0,0,0,None,None
37,7,20.0676,3,1,1,15703,0,0,32.4546,1,0,0,0,1,1,1,8,0,0,0,17322,0,1,53.9887,1,0,0,0,1,1,1,12,0,0,0,None,None
38,7,952.035,3,1,1,16224,0,0,25.1874,1,0,0,0,1,1,1,0,0,0,0,10299,0,1,14.5173,1,0,0,0,1,1,1,0,0,0,0,None,None
39,7,36.0402,3,1,1,125,1,0,22.445,1,0,0,0,1,1,1,8,0,0,0,7938,0,1,24.8784,1,0,0,0,1,1,1,8,0,0,0,None,None
40,7,567.99,3,1,1,2708,0,0,48.8486,1,0,0,0,1,1,1,0,0,0,0,12926,0,1,13.9978,1,0,0,0,1,1,1,0,0,0,0,None,None
41,7,61.9644,3,1,1,3483,0,0,59.3062,1,0,0,0,1,1,1,0,0,0,0,15602,0,1,14.1043,1,0,0,0,1,1,1,8,0,0,0,None,None
42,7,718.01,3,1,1,9844,0,0,74.7467,1,0,0,0,1,1,1,8,0,0,0,15591,0,1,43.071,1,0,0,0,1,1,1,8,0,0,0,None,None
43,7,11.9318,3,1,1,12878,0,0,29.8663,1,0,0,0,1,1,1,8,0,0,0,8628,1,1,18.2972,1,0,0,0,1,1,1,8,0,0,0,None,None
44,8,13624,2,1,1,16626,0,0,43.486,1,0,0,1,0,1,1,0,0,0,0,4382,0,1,32.9183,1,0,0,1,0,1,1,12,0,0,0,None,None
45,8,9377.34,2,1,1,6489,0,0,47.9378,1,0,0,1,0,1,1,12,0,0,0,3687,0,1,31.6034,1,0,0,1,0,1,1,0,0,0,0,None,None
