Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,155.125,0,1,1,4376,0,0,27.8314,1,1,0,0,0,1,1,0,0,0,0,4242,0,1,20.5795,1,1,0,0,0,1,1,0,0,0,0,None,None
2,0,397.748,0,1,1,8433,0,0,38.5259,1,1,0,0,0,1,1,0,0,0,0,4798,0,1,32.6517,1,1,0,0,0,1,1,8,0,0,0,None,None
3,0,107.509,0,1,1,9970,0,0,20.1435,1,1,0,0,0,1,1,8,0,0,0,263,0,1,18.8367,1,1,0,0,0,1,1,0,0,0,0,None,None
4,0,264.078,0,1,1,12490,0,0,29.1189,1,1,0,0,0,1,1,0,0,0,0,7972,0,1,29.9576,1,1,0,0,0,1,1,0,0,0,0,None,None
5,0,1365.59,0,1,1,12971,0,0,37.9507,1,1,0,0,0,1,1,12,0,0,0,1876,0,1,32.4289,1,1,0,0,0,1,1,0,0,0,0,None,None
6,0,150.11,1,1,1,6981,0,0,36.5935,1,0,1,0,0,1,1,8,0,0,0,14673,0,1,22.7738,1,0,1,0,0,1,1,8,0,0,0,None,None
7,0,596.047,1,1,1,11281,0,0,37.8427,1,0,1,0,0,1,1,0,0,0,0,1402,0,1,34.4165,1,0,1,0,0,1,1,0,0,0,0,None,None
8,0,268.036,3,1,1,68,0,0,67.7974,1,0,0,0,1,1,1,12,0,0,0,876,0,1,29.0392,1,0,0,0,1,1,1,0,0,0,0,None,None
9,0,667.658,3,1,1,693,0,0,35.0772,1,0,0,0,1,1,1,0,0,0,0,6183,0,1,28.5057,1,0,0,0,1,1,1,0,0,0,0,None,None
10,0,2104.56,3,1,1,934,0,0,44.9168,1,0,0,0,1,1,1,0,0,0,0,3758,0,1,50.8271,1,0,0,0,1,1,1,0,0,0,0,None,None
11,0,290.101,3,1,1,6653,0,0,53.1603,1,0,0,0,1,1,1,0,0,0,0,7106,0,1,26.2108,1,0,0,0,1,1,1,0,0,0,0,None,None
12,0,284.983,3,1,1,11114,0,0,35.0013,1,0,0,0,1,1,1,8,0,0,0,15204,0,1,34.4821,1,0,0,0,1,1,1,0,0,0,0,None,None
13,0,152.854,3,1,1,12938,0,0,52.8485,1,0,0,0,1,1,1,8,0,0,0,5786,0,1,13.5787,1,0,0,0,1,1,1,8,0,0,0,None,None
14,0,1511.53,3,1,1,15020,0,0,39.5898,1,0,0,0,1,1,1,14,0,0,0,7828,0,1,47.4299,1,0,0,0,1,1,1,0,0,0,0,None,None
15,1,603.304,0,1,1,220,0,0,26.5878,1,1,0,0,0,1,1,12,0,0,0,4972,0,1,20.2637,1,1,0,0,0,1,1,0,0,0,0,None,None
16,1,113.048,0,1,1,512,0,0,31.5694,1,1,0,0,0,1,1,0,0,0,0,13019,1,1,20.2197,1,1,0,0,0,1,1,0,0,0,0,None,None
17,1,91.5343,0,1,1,2152,0,0,34.2556,1,1,0,0,0,1,1,8,0,0,0,2409,1,1,17.5434,1,1,0,0,0,1,1,0,0,0,0,None,None
18,1,49.6212,0,1,1,3793,1,0,24.6395,1,1,0,0,0,1,1,0,0,0,0,7407,0,1,17.644,1,1,0,0,0,1,1,0,0,0,0,None,None
19,1,522.451,0,1,1,7064,0,0,34.0876,1,1,0,0,0,1,1,0,0,0,0,8910,1,1,18.0703,1,1,0,0,0,1,1,8,0,0,0,None,None
20,1,101.309,0,1,1,9911,0,0,42.9102,1,1,0,0,0,1,1,14,0,0,0,2691,0,1,30.6716,1,1,0,0,0,1,1,0,0,0,0,None,None
21,1,732.172,0,1,1,10873,1,0,19.7938,1,1,0,0,0,1,1,8,0,0,0,15360,1,1,20.7229,1,1,0,0,0,1,1,8,0,0,0,None,None
22,1,218.905,0,1,1,11308,0,0,27.1791,1,1,0,0,0,1,1,0,0,0,0,15443,1,1,21.3909,1,1,0,0,0,1,1,8,0,0,0,None,None
23,1,1020.79,0,1,1,13790,0,0,26.6957,1,1,0,0,0,1,1,0,0,0,0,6525,1,1,24.3306,1,1,0,0,0,1,1,0,0,0,0,None,None
