Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
19,3,0,65.1332,0,0,F,300,456,46.338,40.6181,1,SELF_MIGRATING
55,1,0,241.65,0,0,F,122,46,24.3551,21.3275,1,PARTNER_MIGRATING
56,1,0,293.358,0,0,F,122,746,24.3551,16.4484,1,PARTNER_MIGRATING
10,4,0,647.053,1,1,F,1145,517,23.4346,29.5065,1,SELF_MIGRATING
51,2,0,13562.9,1,2,F,1063,1255,57.7323,56.3837,1,PARTNER_MIGRATING
149,4,2,443.442,2,1,F,721,405,18.4765,22.2962,1,SELF_MIGRATING
162,3,2,192.302,2,1,F,636,1316,25.5172,18.5385,1,SELF_MIGRATING
108,2,1,465.188,2,0,F,387,647,17.4936,22.3602,1,SELF_MIGRATING
158,3,2,806.079,3,0,F,724,1148,17.5393,18.7027,1,SELF_MIGRATING
220,3,3,232.233,3,0,F,1322,1364,35.0867,29.0172,1,SELF_MIGRATING
230,2,3,146.355,3,0,F,1279,115,20.372,19.1612,1,SELF_MIGRATING
195,1,2,696.852,3,1,F,1138,90,34.9469,24.4229,2,SELF_MIGRATING
143,4,2,435.974,4,0,F,1149,645,21.5373,16.9105,3,SELF_MIGRATING
31,3,0,276.05,4,1,F,1180,500,25.7089,28.4338,1,SELF_MIGRATING
103,3,1,4104.46,4,2,F,260,960,56.5118,52.8529,2,PARTNER_MIGRATING
93,3,1,163.734,4,0,F,1212,1332,21.6363,17.7607,1,SELF_MIGRATING
231,2,3,650.598,4,0,F,135,115,20.7861,19.1639,2,SELF_MIGRATING
283,2,4,349.203,4,0,F,135,755,20.7861,16.2279,1,SELF_MIGRATING
290,2,4,183.784,4,1,F,1363,191,19.7483,16.1252,2,SELF_MIGRATING
122,2,1,4499.34,4,2,F,1175,1019,40.5761,39.6826,2,SELF_MIGRATING
252,1,3,284.786,4,1,F,170,930,42.9527,38.8973,2,SELF_MIGRATING
226,3,3,389.591,5,1,F,496,360,62.181,47.7875,2,PARTNER_MIGRATING
54,1,0,287.717,5,0,F,106,58,30.1769,27.7477,2,SELF_MIGRATING
65,1,0,694.87,5,1,F,414,58,38.0522,27.7477,4,SELF_MIGRATING
60,1,0,355.852,5,0,F,846,614,30.1349,17.8754,5,SELF_MIGRATING
32,3,0,327.586,6,1,F,1180,156,25.7171,18.1892,3,SELF_MIGRATING
319,3,5,237.914,6,0,F,1180,1304,25.7171,18.1177,1,SELF_MIGRATING
282,2,4,634.833,6,0,F,1295,755,17.194,16.2361,1,SELF_MIGRATING
328,2,5,360.429,6,0,F,1103,375,31.3236,31.5843,1,PARTNER_MIGRATING
53,1,0,135.073,6,0,F,10,874,25.0731,26.0052,5,SELF_MIGRATING
130,1,1,557.247,6,0,F,42,622,16.6495,18.0045,1,SELF_MIGRATING
199,1,2,15003.4,6,2,F,498,570,58.4243,21.9264,2,SELF_MIGRATING
131,1,1,165.893,6,0,F,174,798,45.4014,22.3559,1,SELF_MIGRATING
273,4,4,14751,7,2,F,1325,1193,33.9741,36.3523,2,PARTNER_MIGRATING
169,2,2,197.884,7,0,F,1003,955,22.853,21.6672,2,SELF_MIGRATING
116,2,1,547.659,7,1,F,1171,291,25.9849,25.9238,1,SELF_MIGRATING
118,2,1,584.831,7,1,F,1171,947,25.9849,18.4872,3,SELF_MIGRATING
134,1,1,308.779,7,0,F,730,1186,34.7026,30.2348,3,PARTNER_MIGRATING
78,4,1,412.743,8,1,F,89,1105,16.755,13.4201,2,SELF_MIGRATING
95,3,1,229.832,8,0,F,563,436,17.8852,29.4706,4,SELF_MIGRATING
320,3,5,142.176,8,0,F,1322,224,35.1004,31.4023,3,PARTNER_MIGRATING
177,2,2,1040.38,8,1,F,119,1223,39.5753,23.0359,4,PARTNER_MIGRATING
178,2,2,767.224,8,1,F,131,1223,33.5171,23.0359,2,PARTNER_MIGRATING
354,1,6,58.7399,8,0,F,1142,1353,30.2101,24.2971,3,SELF_MIGRATING
21,3,0,84.7568,9,0,F,356,416,19.7379,14.3205,4,SELF_MIGRATING
2,4,0,440.848,10,0,F,221,553,33.4197,26.0791,3,SELF_MIGRATING
430,3,10,3599.08,10,2,F,116,936,38.564,30.8721,1,SELF_MIGRATING
219,3,3,150.715,10,0,F,1328,292,19.2688,24.2345,1,SELF_MIGRATING
218,3,3,206.689,10,0,F,920,544,36.7484,33.2032,2,SELF_MIGRATING
234,2,3,543.414,10,0,F,1015,1011,25.8619,22.7722,1,SELF_MIGRATING
285,2,4,72.5456,10,0,F,1015,375,25.8619,31.5952,1,SELF_MIGRATING
351,2,6,604.352,10,1,F,663,383,38.4922,34.0804,2,PARTNER_MIGRATING
436,2,10,192.206,10,0,F,1175,291,40.5953,25.932,1,PARTNER_MIGRATING
193,1,2,857.693,10,1,F,1006,94,37.7664,29.1915,4,PARTNER_MIGRATING
201,1,2,8753.65,10,2,F,1282,238,49.0571,37.775,6,PARTNER_MIGRATING
59,1,0,94.4089,10,0,F,718,838,17.726,20.4114,4,SELF_MIGRATING
96,3,1,815.624,11,1,F,768,1380,29.7398,21.8943,1,PARTNER_MIGRATING
276,3,4,107.267,11,0,F,1310,1380,22.2573,21.8943,3,PARTNER_MIGRATING
215,3,3,253.599,11,0,F,348,1380,21.3905,21.8943,2,PARTNER_MIGRATING
277,3,4,50.2722,11,0,F,554,1380,30.8558,21.8943,1,PARTNER_MIGRATING
321,3,5,221.719,11,0,F,135,284,20.8053,17.2143,1,SELF_MIGRATING
411,3,9,117.517,11,1,F,135,216,20.8053,24.6409,1,SELF_MIGRATING
24,3,0,682.485,11,0,F,1144,836,27.7043,28.5531,2,SELF_MIGRATING
181,2,2,540.453,11,1,F,431,1187,29.4813,26.088,4,SELF_MIGRATING
232,2,3,566.846,11,0,F,431,1091,29.4813,33.8873,1,SELF_MIGRATING
253,1,3,39.376,11,1,F,250,1316,29.4217,18.5604,2,SELF_MIGRATING
304,1,4,8040.23,11,2,F,250,1364,29.4217,29.0364,2,SELF_MIGRATING
250,1,3,73.7163,11,0,F,482,1316,15.8626,18.5632,5,SELF_MIGRATING
336,1,5,85.818,11,0,F,1230,1316,19.5406,18.5632,4,SELF_MIGRATING
200,1,2,7883.19,11,2,F,934,1214,46.966,42.2789,4,SELF_MIGRATING
345,3,6,664.594,12,1,F,684,1024,30.3179,24.0309,2,SELF_MIGRATING
454,3,11,6333.86,12,2,F,812,1024,37.7031,24.0309,1,SELF_MIGRATING
189,1,2,356.676,12,0,F,230,1314,30.5161,23.4302,1,SELF_MIGRATING
301,1,4,1087.17,12,1,F,1218,1202,27.3722,16.0626,2,SELF_MIGRATING
5,4,0,97.2538,13,0,F,945,1049,35.6192,27.8219,7,SELF_MIGRATING
91,3,1,12.4871,13,0,F,888,476,23.0519,16.1662,4,BROKEUP
275,3,4,12.8351,13,0,F,732,136,38.4139,28.0899,1,BROKEUP
280,3,4,2559.69,13,2,F,376,120,59.3412,47.9562,1,PARTNER_MIGRATING
