Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
8,4,0,409.17,1,0,1292,1214,21.2809,16.2184,SELF_MIGRATING
24,3,0,761.252,1,1,776,979,27.9666,25.4232,SELF_MIGRATING
26,3,0,349.114,2,1,904,1029,21.5345,20.0624,SELF_MIGRATING
157,2,2,298.565,2,0,365,545,28.7282,17.3812,SELF_MIGRATING
104,2,1,646.307,2,0,485,383,17.9675,15.8887,SELF_MIGRATING
107,2,1,34.4854,2,0,620,621,19.7702,17.4753,SELF_MIGRATING
75,4,1,177.432,3,0,1185,1305,40.4994,35.4542,SELF_MIGRATING
31,3,0,2555.6,3,2,699,731,73.7928,36.2435,SELF_MIGRATING
21,3,0,963.223,3,1,713,814,27.3156,21.0892,SELF_MIGRATING
90,3,1,160.189,3,0,818,950,29.6385,21.5296,SELF_MIGRATING
170,1,2,223.684,3,0,262,306,37.4287,36.4834,SELF_MIGRATING
41,2,0,202.762,4,0,405,496,20.6255,17.0085,SELF_MIGRATING
194,2,3,349.518,4,0,566,440,31.9152,26.0715,SELF_MIGRATING
42,2,0,9.20991,4,0,647,642,21.4387,17.5993,SELF_MIGRATING
134,4,2,304.925,5,0,1208,1296,21.564,17.4319,SELF_MIGRATING
85,3,1,230.885,6,0,792,732,42.1955,29.1701,SELF_MIGRATING
44,2,0,785.337,6,1,376,612,29.4061,19.3198,SELF_MIGRATING
6,4,0,228.848,7,0,1145,1150,22.366,24.6164,SELF_MIGRATING
242,4,6,537.035,7,1,1273,1126,29.4826,18.9788,SELF_MIGRATING
89,3,1,200.917,7,0,768,962,25.6744,18.0734,SELF_MIGRATING
18,3,0,575.301,7,0,896,813,23.9685,21.7633,SELF_MIGRATING
234,2,5,8.15061,7,0,733,580,33.4482,32.2101,SELF_MIGRATING
128,1,1,536.789,7,1,182,96,20.1173,22.1389,SELF_MIGRATING
49,2,0,858.653,8,1,655,395,18.0917,20.0629,SELF_MIGRATING
274,4,9,575.471,9,0,1054,1290,22.2733,25.1888,SELF_MIGRATING
92,3,1,638.331,9,0,917,880,17.3314,17.5497,SELF_MIGRATING
183,3,3,479.109,9,0,987,1029,21.8122,20.0815,SELF_MIGRATING
3,4,0,102.379,10,0,1104,1173,19.6124,21.6552,SELF_MIGRATING
147,4,2,9369.8,10,2,1272,1287,35.4206,32.3724,SELF_MIGRATING
64,1,0,756.534,10,0,255,43,26.1036,22.9048,SELF_MIGRATING
224,1,4,358.151,10,0,36,192,20.3037,21.7875,SELF_MIGRATING
62,1,0,526.551,11,0,191,275,22.2805,18.9717,SELF_MIGRATING
84,4,1,4065.13,12,2,1301,1124,46.7509,41.8093,SELF_MIGRATING
9,4,0,17.3195,12,0,1369,1289,16.3202,16.8736,SELF_MIGRATING
23,3,0,952.655,12,1,739,726,21.1718,15.9857,SELF_MIGRATING
158,2,2,325.283,12,0,368,410,19.4763,19.5157,SELF_MIGRATING
167,2,2,3476.19,12,2,640,503,44.7267,39.2155,SELF_MIGRATING
120,1,1,88.8781,12,0,122,345,52.9006,46.1438,SELF_MIGRATING
103,2,1,12.9093,13,0,421,417,20.3089,22.4581,BROKEUP
110,2,1,114.631,13,1,459,385,26.957,28.6947,SELF_MIGRATING
233,2,5,666.323,13,0,657,621,22.622,17.5082,SELF_MIGRATING
99,3,1,404.419,14,1,996,789,33.7237,29.5233,SELF_MIGRATING
106,2,1,176.792,14,0,561,371,23.072,19.9991,SELF_MIGRATING
308,2,14,1171.07,14,0,657,469,22.6275,22.0875,SELF_MIGRATING
68,1,0,413.35,14,1,196,149,30.2266,36.5312,SELF_MIGRATING
2,4,0,167.191,15,0,1063,1047,25.1202,18.5489,SELF_MIGRATING
251,4,7,121.378,15,0,833,1139,32.8271,30.1466,SELF_MIGRATING
152,3,2,428.363,16,1,718,849,37.9252,32.5254,SELF_MIGRATING
279,2,9,688.787,16,0,507,1385,29.5932,25.7468,SELF_MIGRATING
280,2,9,224.907,16,0,647,496,21.4743,17.0441,SELF_MIGRATING
271,1,8,548.463,16,1,182,177,20.142,27.2673,SELF_MIGRATING
93,3,1,201.814,17,1,1036,926,28.1261,22.0708,SELF_MIGRATING
66,1,0,610.224,17,0,316,109,27.5677,24.041,SELF_MIGRATING
48,2,0,651.137,18,1,623,549,27.8967,31.384,SELF_MIGRATING
109,2,1,692.649,18,1,675,649,57.0208,48.5915,SELF_MIGRATING
225,1,4,38.4321,18,0,78,57,21.5684,16.3109,SELF_MIGRATING
25,3,0,475.177,19,1,795,971,29.9818,23.6653,SELF_MIGRATING
268,2,8,18.339,19,0,131,364,18.3902,15.747,BROKEUP
278,2,9,659.645,20,0,586,431,38.3807,28.2876,SELF_MIGRATING
72,1,0,10425.3,20,2,93,277,49.6033,49.4447,SELF_MIGRATING
297,4,13,757.99,21,0,1365,1289,17.9721,16.8983,SELF_MIGRATING
149,3,2,177.066,21,0,949,717,26.5992,20.2152,SELF_MIGRATING
296,4,13,204.366,22,0,1205,1249,63.238,54.3274,SELF_MIGRATING
87,3,1,450.236,22,0,992,697,25.3357,18.6778,SELF_MIGRATING
253,3,7,253.892,22,0,921,612,16.6382,19.3609,SELF_MIGRATING
53,2,0,6374.56,22,2,372,562,49.1618,56.1083,SELF_MIGRATING
235,2,5,198.666,23,0,1142,1310,26.7235,21.1395,SELF_MIGRATING
126,1,1,981.548,23,1,298,339,37.9295,39.9388,SELF_MIGRATING
27,3,0,652.341,24,1,914,775,17.8177,29.4133,SELF_MIGRATING
201,1,3,88.9382,24,1,56,13,34.117,33.2249,SELF_MIGRATING
203,1,3,732.838,24,1,250,24,18.1981,17.4634,SELF_MIGRATING
261,4,8,24.031,25,0,405,96,20.6803,22.1855,BROKEUP
273,4,9,136.561,25,0,1211,1225,56.3495,40.1795,SELF_MIGRATING
58,1,0,256.712,25,0,9,152,28.3498,27.8214,SELF_MIGRATING
79,4,1,645.864,26,1,1086,1313,38.4355,30.587,SELF_MIGRATING
315,2,15,554.099,26,0,413,469,28.1399,22.1177,SELF_MIGRATING
294,1,11,181.908,26,1,504,383,24.662,15.9545,SELF_MIGRATING
137,4,2,567.418,27,0,1268,1120,26.2701,23.5631,SELF_MIGRATING
125,4,1,699.205,28,1,260,268,33.5691,26.6507,SELF_MIGRATING
228,4,5,43.1498,30,0,1172,642,18.4436,17.6678,SELF_MIGRATING
178,4,3,37.0056,30,0,1259,1376,22.5105,16.4586,SELF_MIGRATING
213,2,4,29.6709,30,0,1325,1266,30.789,23.695,BROKEUP
67,1,0,707.516,30,1,32,83,36.2073,31.7704,SELF_MIGRATING
5,4,0,175.863,31,0,1135,1045,42.563,33.1004,SELF_MIGRATING
19,3,0,540.75,31,0,905,1013,28.0246,25.4648,SELF_MIGRATING
102,2,1,95.2445,31,0,659,555,31.872,25.862,SELF_MIGRATING
317,1,15,204.814,32,1,191,950,22.338,21.609,SELF_MIGRATING
12,4,0,500.369,33,1,1062,1233,30.1902,30.0528,SELF_MIGRATING
45,2,0,1400.22,33,1,403,393,36.2974,22.4773,SELF_MIGRATING
262,4,8,307.35,34,0,1178,1093,29.5295,26.2165,SELF_MIGRATING
300,1,13,196.888,34,0,272,8,43.614,34.9131,SELF_MIGRATING
254,3,7,73.585,35,0,857,732,39.0353,29.2495,SELF_MIGRATING
148,3,2,127.767,35,0,939,983,28.9112,25.4308,SELF_MIGRATING
343,2,20,92.5971,35,0,524,149,46.4339,36.586,SELF_MIGRATING
169,2,2,92.767,35,0,304,215,23.7649,19.7456,SELF_MIGRATING
358,1,25,127.256,35,1,4,41,50.2793,43.3477,SELF_MIGRATING
260,1,7,695.601,35,1,776,300,28.0597,22.2652,SELF_MIGRATING
97,3,1,399.201,36,1,823,1024,25.2942,22.4125,SELF_MIGRATING
193,2,3,271.124,36,0,539,499,21.3475,18.0044,SELF_MIGRATING
390,2,36,540.242,36,1,1178,1385,29.5377,25.8043,SELF_MIGRATING
161,4,2,286.809,37,1,363,531,54.4474,45.1259,SELF_MIGRATING
275,4,9,99.9489,37,0,1111,1373,21.9412,26.628,SELF_MIGRATING
338,4,19,217.521,37,0,1167,813,20.4637,21.8427,SELF_MIGRATING
375,2,31,499.948,37,0,620,1376,19.8634,16.4777,SELF_MIGRATING
185,3,3,723.441,38,1,984,944,23.2957,24.9221,SELF_MIGRATING
43,2,0,212.266,38,0,664,656,18.3674,17.9785,SELF_MIGRATING
215,1,4,223.125,38,1,1169,1116,32.4866,20.3107,SELF_MIGRATING
1,4,0,121.223,39,0,1061,1123,18.5262,22.2642,SELF_MIGRATING
362,4,27,47.5365,39,1,777,1363,19.9136,17.8516,SELF_MIGRATING
276,4,9,236.155,40,0,1136,395,17.8908,20.1506,SELF_MIGRATING
398,4,39,135.143,40,0,921,1376,16.6875,16.486,SELF_MIGRATING
189,3,3,589.908,40,1,778,1032,39.5816,37.4335,SELF_MIGRATING
363,2,27,47.2516,40,0,952,697,17.0146,18.7271,SELF_MIGRATING
396,2,38,1285.63,42,1,539,568,21.3667,20.2166,SELF_MIGRATING
392,4,37,89.1289,43,0,1145,393,22.4618,22.5047,SELF_MIGRATING
180,4,3,799.489,43,1,1156,1359,29.6386,20.5343,SELF_MIGRATING
335,3,18,634.032,43,1,765,1031,50.4633,47.482,SELF_MIGRATING
328,1,17,421.174,43,1,917,545,17.4273,17.4936,SELF_MIGRATING
86,3,1,432.641,44,0,961,929,34.241,23.9267,SELF_MIGRATING
374,1,30,302.529,44,1,72,152,42.0412,27.8735,SELF_MIGRATING
211,4,4,162.301,45,0,1291,1177,16.9594,23.5387,SELF_MIGRATING
381,4,33,197.038,46,0,78,96,21.6424,22.2458,SELF_MIGRATING
331,4,18,294.173,48,0,241,1047,19.8555,18.6393,SELF_MIGRATING
399,4,40,472.502,48,0,1365,1363,18.0488,17.879,SELF_MIGRATING
186,3,3,608.417,48,1,757,943,55.5728,37.0408,SELF_MIGRATING
202,1,3,142.913,48,1,637,264,21.7493,15.4029,SELF_MIGRATING
154,3,2,1335,49,1,1050,920,25.5414,23.1458,SELF_MIGRATING
410,1,42,4972.59,49,2,208,146,68.859,52.0278,SELF_MIGRATING
88,4,1,49.8084,50,0,755,816,39.9905,32.6983,BROKEUP
432,4,50,248.746,50,0,1268,1363,26.3331,17.8845,SELF_MIGRATING
257,2,7,747.448,50,1,458,379,17.3172,17.3405,SELF_MIGRATING
312,4,15,813.011,51,0,1104,1290,19.7248,25.3039,SELF_MIGRATING
212,4,4,66.1777,51,0,1119,1276,21.5429,19.1412,SELF_MIGRATING
298,3,13,165.916,51,0,869,1029,26.3461,20.1966,SELF_MIGRATING
114,2,1,1465.85,51,1,579,578,23.3183,21.5367,SELF_MIGRATING
129,1,1,829.986,51,1,197,62,16.8369,13.8947,SELF_MIGRATING
175,1,2,8988.48,51,2,285,278,54.1699,44.2587,SELF_MIGRATING
293,4,11,697.968,52,1,1175,1153,37.3298,22.4363,SELF_MIGRATING
400,2,40,255.372,52,0,131,656,18.4834,18.0168,SELF_MIGRATING
