Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_IP='Accessibility',A_IP='CascadeState',A_IP='HasSTI',A_IP='OnDrug',A_IP='PrEPWilling',A_IP='Risk',A_IP='VMMC',A_IP='WillingToStartARTFromPrEPCampaign',A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_IP='Accessibility',B_IP='CascadeState',B_IP='HasSTI',B_IP='OnDrug',B_IP='PrEPWilling',B_IP='Risk',B_IP='VMMC',B_IP='WillingToStartARTFromPrEPCampaign',B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,152.083,252.602,1,F,1,1,21,0,0,36.2766,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,54,0,1,15.8569,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
2,152.083,881.725,1,F,1,1,15,0,0,30.4563,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,65,0,1,32.817,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
3,182.5,592.88,0,F,1,1,79,0,0,27.6834,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,69,0,1,27.4079,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
4,182.5,8501.43,2,F,1,1,84,0,0,18.4323,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,68,0,1,15.5551,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
5,182.5,1342.52,2,F,1,1,95,0,0,24.878,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,17,0,1,19.3555,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
6,243.333,1521,1,F,1,1,36,0,0,32.914,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,32,0,1,30.3602,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
7,243.333,2578.17,2,F,1,1,2,0,0,24.3413,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,74,0,1,18.3356,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
8,334.583,1589.47,1,F,1,1,59,0,0,28.8916,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,88,0,1,30.9253,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
9,334.583,2755.52,2,F,1,1,98,0,0,53.9311,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,80,0,1,49.2867,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
10,425.833,1826.44,2,F,1,1,67,0,0,22.4967,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,85,0,1,18.627,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
11,517.083,7175.07,2,F,1,1,47,0,0,17.869,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,92,0,1,13.3602,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
12,577.917,2366.83,1,F,1,1,34,0,0,33.6229,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,56,0,1,30.501,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
13,608.333,1498.59,2,F,1,1,29,0,0,27.4619,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,25,0,1,20.4348,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
