Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),male_ID,female_ID,male_age,female_age,Termination_Reason
209,1,27,28.3659,29,0,9575,8433,20.7929,29.994,BROKEUP
82,1,13,32.7428,33,0,995,108,47.3855,20.8496,BROKEUP
89,1,13,32.6502,33,0,6445,7078,40.6166,23.936,BROKEUP
229,1,27,32.42,33,0,5287,560,20.8653,18.6267,BROKEUP
30,1,6,34.6618,35,0,9958,4863,34.6306,18.4233,BROKEUP
81,1,13,37.3331,38,0,831,8491,38.5593,22.4453,BROKEUP
66,1,13,41.7014,42,0,7065,8435,28.5615,37.2316,BROKEUP
288,1,34,43.7774,44,0,7760,3347,28.459,48.0947,BROKEUP
108,1,13,45.2581,46,0,5585,9480,32.7771,32.8966,BROKEUP
291,1,34,45.559,46,0,813,8179,22.2019,38.0854,BROKEUP
136,1,20,46.7729,47,0,7680,4932,24.1774,33.7845,BROKEUP
319,1,41,48.7136,49,0,3963,448,37.1709,41.8156,BROKEUP
120,1,13,49.3985,50,0,8317,3376,17.6909,39.8028,BROKEUP
338,1,41,59.8139,60,0,5042,212,27.7408,39.299,BROKEUP
332,1,41,60.6604,61,0,8311,3686,44.1836,20.4515,BROKEUP
337,1,41,60.0628,61,0,3810,8142,51.3005,29.4433,BROKEUP
15,1,6,61.1086,62,0,2091,5990,27.9138,29.1399,BROKEUP
24,1,6,63.6461,64,0,3114,9509,36.8651,43.0056,BROKEUP
459,1,55,63.2527,64,0,8519,5942,36.8983,39.1053,BROKEUP
363,1,41,64.8137,65,0,4750,9501,36.9907,33.2619,BROKEUP
517,1,62,64.7048,65,0,1231,4062,20.2038,52.7785,BROKEUP
98,1,13,65.2604,66,0,9371,7327,26.8999,48.5036,BROKEUP
272,1,34,65.9643,66,0,220,3007,46.242,38.3816,BROKEUP
301,1,34,65.4467,66,0,8316,9207,51.2078,31.1727,BROKEUP
433,1,48,65.7042,66,0,2231,9730,36.7481,33.8577,BROKEUP
228,1,27,66.4185,67,0,4889,38,24.802,17.7405,BROKEUP
317,1,41,66.7942,67,0,3057,9450,33.4143,51.4109,BROKEUP
506,1,62,67.4895,68,0,9468,2157,24.4082,44.3725,BROKEUP
54,1,6,68.9124,69,0,8596,4813,53.5292,37.155,BROKEUP
223,1,27,68.3716,69,0,8285,4766,17.6971,20.1477,BROKEUP
270,1,34,68.8262,69,0,6019,9809,43.8813,26.1596,BROKEUP
372,1,41,68.3808,69,0,6480,9649,49.9597,38.9139,BROKEUP
534,1,62,70.2776,71,0,204,1069,51.139,48.3008,BROKEUP
419,1,48,71.3527,72,0,7,8786,50.6189,39.9624,BROKEUP
339,1,41,73.3007,74,0,6897,542,31.5411,28.1431,BROKEUP
415,1,48,73.9627,74,0,4496,7586,25.3634,18.8735,BROKEUP
20,1,6,74.6684,75,0,8161,2370,50.349,18.1847,BROKEUP
191,1,27,75.8146,76,0,5697,2493,46.1027,33.9129,BROKEUP
250,1,27,75.9605,76,0,5081,8719,48.3941,42.3217,BROKEUP
261,1,34,75.7433,76,0,4530,6134,30.7988,24.0951,BROKEUP
50,1,6,76.2556,77,0,3238,8450,39.4574,38.7951,BROKEUP
93,1,13,78.7882,79,0,3186,1504,16.0012,19.9848,BROKEUP
218,1,27,78.2938,79,0,4536,8227,16.9148,52.9392,BROKEUP
544,1,62,78.3839,79,0,611,6425,47.493,23.2146,BROKEUP
320,1,41,79.9512,80,0,4013,461,35.1623,52.9042,BROKEUP
497,1,62,81.9248,82,0,4944,2448,48.6792,43.4534,BROKEUP
354,1,41,82.9717,83,0,234,2834,27.2054,48.077,BROKEUP
504,1,62,83.3854,84,0,8782,8137,43.8003,28.2522,BROKEUP
651,1,76,83.8406,84,0,7560,4462,16.3521,44.8441,BROKEUP
351,1,41,84.4425,85,0,5604,8229,45.5776,46.867,BROKEUP
11,1,6,85.028,86,0,9504,7151,40.9655,49.4969,BROKEUP
450,1,55,85.6542,86,0,4714,5100,20.497,19.1702,BROKEUP
90,1,13,86.6312,87,0,6629,7166,52.8311,23.8448,BROKEUP
307,1,34,86.619,87,0,4091,6168,24.3991,23.7286,BROKEUP
314,1,41,86.8328,87,0,1794,7576,40.025,21.8031,BROKEUP
345,1,41,86.9028,87,0,7323,8500,27.3009,44.6349,BROKEUP
713,1,83,86.6644,87,0,877,3244,36.8607,17.8833,BROKEUP
679,1,83,87.7668,88,0,8110,6692,54.3767,27.2037,BROKEUP
530,1,62,88.5821,89,0,3099,7277,51.7118,20.1537,BROKEUP
259,1,34,90.7324,91,0,4187,6026,48.0235,27.2604,BROKEUP
23,1,6,93.0034,94,0,1638,8083,45.6348,27.1476,BROKEUP
179,1,20,93.8029,94,0,6183,2152,20.6934,22.949,BROKEUP
329,1,41,94.1128,95,0,2054,1366,39.7863,16.5604,BROKEUP
348,1,41,94.2124,95,0,9798,2818,46.3057,22.4569,BROKEUP
368,1,41,94.4689,95,0,8659,4960,49.2898,37.9174,BROKEUP
677,1,83,94.9902,95,0,6696,4900,48.6483,30.659,BROKEUP
531,1,62,95.3938,96,0,5413,7416,41.3006,52.6546,BROKEUP
769,1,90,96.8024,97,0,9436,5140,49.2993,21.8527,BROKEUP
154,1,20,97.751,98,0,7357,18,41.0552,21.5123,BROKEUP
652,1,76,97.1283,98,0,8415,5333,37.2933,45.6715,BROKEUP
541,1,62,98.1491,99,0,4289,804,27.0839,17.5494,BROKEUP
665,1,76,98.4679,99,0,7212,5587,41.1224,41.1759,BROKEUP
