Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,6,608.887,0,1,1,85,0,0,44.5522,1,1,0,0,0,1,1,0,0,0,0,121,0,1,33.6169,1,1,0,0,0,1,1,0,0,0,0,None,None
2,6,1709.51,0,1,1,2049,0,0,25.1586,1,1,0,0,0,1,1,0,0,0,0,218,0,1,50.6699,1,1,0,0,0,1,1,0,0,0,0,None,None
3,6,1124.58,0,1,1,3001,0,0,50.6927,1,1,0,0,0,1,1,0,0,0,0,921,0,1,52.7014,1,1,0,0,0,1,1,0,0,0,0,None,None
4,6,163.445,0,1,1,7533,0,0,34.3618,1,1,0,0,0,1,1,0,0,0,0,1459,0,1,45.7818,1,1,0,0,0,1,1,0,0,0,0,None,None
5,6,252.389,0,1,1,7680,0,0,29.3621,1,1,0,0,0,1,1,0,0,0,0,5667,0,1,47.866,1,1,0,0,0,1,1,0,0,0,0,None,None
6,6,153.954,0,1,1,7732,0,0,52.0849,1,1,0,0,0,1,1,0,0,0,0,5746,0,1,19.8809,1,1,0,0,0,1,1,0,0,0,0,None,None
7,6,529.333,0,1,1,8202,1,0,42.8323,1,1,0,0,0,1,1,0,0,0,0,8524,0,1,50.4401,1,1,0,0,0,1,1,0,0,0,0,None,None
8,6,280.351,0,1,1,9338,0,0,31.8366,1,1,0,0,0,1,1,0,0,0,0,8648,1,1,26.6047,1,1,0,0,0,1,1,0,0,0,0,None,None
9,6,188.76,0,1,1,605,0,0,30.7224,1,1,0,0,0,1,1,0,0,0,0,1001,0,1,21.2675,1,1,0,0,0,1,1,0,0,0,0,None,None
10,6,130.916,0,1,1,2709,0,0,52.9465,1,1,0,0,0,1,1,0,0,0,0,1650,0,1,21.1534,1,1,0,0,0,1,1,0,0,0,0,None,None
11,6,211.929,0,1,1,4779,0,0,25.698,1,1,0,0,0,1,1,0,0,0,0,2013,0,1,47.954,1,1,0,0,0,1,1,0,0,0,0,None,None
12,6,167.604,0,1,1,5481,0,0,32.1685,1,1,0,0,0,1,1,0,0,0,0,3464,0,1,29.5837,1,1,0,0,0,1,1,0,0,0,0,None,None
13,6,308.334,0,1,1,5491,0,0,32.0857,1,1,0,0,0,1,1,0,0,0,0,4443,0,1,19.8354,1,1,0,0,0,1,1,0,0,0,0,None,None
14,6,74.204,0,1,1,6547,0,0,37.7899,1,1,0,0,0,1,1,0,0,0,0,4733,0,1,51.7967,1,1,0,0,0,1,1,0,0,0,0,None,None
15,6,103.953,0,1,1,6685,0,0,43.172,1,1,0,0,0,1,1,0,0,0,0,5830,0,1,23.8644,1,1,0,0,0,1,1,0,0,0,0,None,None
16,6,402.56,0,1,1,9696,0,0,53.4568,1,1,0,0,0,1,1,0,0,0,0,8895,0,1,54.7757,1,1,0,0,0,1,1,0,0,0,0,None,None
17,6,237.921,0,1,1,9726,0,0,24.8211,1,1,0,0,0,1,1,0,0,0,0,9097,0,1,25.9149,1,1,0,0,0,1,1,0,0,0,0,None,None
18,6,42.9205,0,1,1,9767,1,0,36.405,1,1,0,0,0,1,1,0,0,0,0,1007,0,1,16.1634,1,1,0,0,0,1,1,0,0,0,0,None,None
19,6,732.604,0,1,1,9858,0,0,54.292,1,1,0,0,0,1,1,0,0,0,0,2786,0,1,20.9702,1,1,0,0,0,1,1,0,0,0,0,None,None
20,6,241.536,0,1,1,1304,0,0,52.0252,1,1,0,0,0,1,1,0,0,0,0,3225,0,1,29.0996,1,1,0,0,0,1,1,0,0,0,0,None,None
21,6,492.414,0,1,1,2042,0,0,50.0436,1,1,0,0,0,1,1,0,0,0,0,3807,0,1,51.3676,1,1,0,0,0,1,1,0,0,0,0,None,None
22,6,272.027,0,1,1,2128,0,0,49.9914,1,1,0,0,0,1,1,0,0,0,0,4822,0,1,46.0397,1,1,0,0,0,1,1,0,0,0,0,None,None
23,6,629.955,0,1,1,3299,1,0,44.3242,1,1,0,0,0,1,1,0,0,0,0,5005,0,1,27.7557,1,1,0,0,0,1,1,0,0,0,0,None,None
24,6,89.9492,0,1,1,4861,0,0,26.9257,1,1,0,0,0,1,1,0,0,0,0,5308,0,1,26.3181,1,1,0,0,0,1,1,0,0,0,0,None,None
25,6,252.627,0,1,1,5311,1,0,29.0806,1,1,0,0,0,1,1,0,0,0,0,7442,0,1,40.0699,1,1,0,0,0,1,1,0,0,0,0,None,None
26,6,766.248,0,1,1,5981,1,0,49.2066,1,1,0,0,0,1,1,0,0,0,0,7542,1,1,27.4108,1,1,0,0,0,1,1,0,0,0,0,None,None
27,6,293.834,0,1,1,6363,0,0,38.7326,1,1,0,0,0,1,1,0,0,0,0,7759,0,1,52.2583,1,1,0,0,0,1,1,0,0,0,0,None,None
