Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PostDebut,11951,11071.7,M,0
2000.33,1,PostDebut,10531,13565.9,F,0
2000.33,1,PostDebut,3,15450,F,0
2000.33,1,PostDebut,4,17032.5,F,0
2000.33,1,PostDebut,12151,10737.1,M,0
2000.33,1,PostDebut,10446,13718,M,0
2000.33,1,PostDebut,10925,12866.3,M,0
2000.33,1,PostDebut,14880,6083.33,F,0
2000.33,1,PreDebut,18159,547.5,F,0
2000.33,1,PreDebut,15281,5353.33,F,0
2000.33,1,PostDebut,11,16393.2,F,0
2000.33,1,PreDebut,15947,4227.92,M,0
2000.33,1,PostDebut,13,14860.1,M,0
2000.33,1,PreDebut,15227,5444.58,M,0
2000.33,1,PostDebut,15,14556.5,F,0
2000.33,1,PostDebut,12135,10767.5,F,0
2000.33,1,PostDebut,12996,9307.49,F,0
2000.33,1,PreDebut,17156,2190,F,0
2000.33,1,PreDebut,15675,4684.17,M,0
2000.33,1,PostDebut,20,15709.4,F,0
2000.33,1,PostDebut,10151,14295.9,F,0
2000.33,1,PreDebut,17478,1642.5,F,0
2000.33,1,PostDebut,13956,7573.74,F,0
2000.33,1,PostDebut,24,19205.6,M,0
2000.33,1,PostDebut,25,16750.7,M,0
2000.33,1,PreDebut,16094,3984.59,M,0
2000.33,1,PreDebut,17477,1642.5,F,0
2000.33,1,PostDebut,28,19222.7,M,0
2000.33,1,PostDebut,29,19981.1,M,0
2000.33,1,PreDebut,17345,1855.42,M,0
2000.33,1,PostDebut,11339,12136.3,M,0
2000.33,1,PreDebut,17063,2342.08,F,0
2000.33,1,PostDebut,15063,5748.75,F,0
2000.33,1,PostDebut,10093,14387.1,M,0
2000.33,1,PostDebut,14321,6995.82,F,0
2000.33,1,PostDebut,36,16316.6,F,0
2000.33,1,PreDebut,17828,1064.58,M,0
2000.33,1,PreDebut,17960,851.667,M,0
2000.33,1,PreDebut,15674,4684.17,F,0
2000.33,1,PostDebut,40,16797.2,F,0
2000.33,1,PostDebut,41,17732.1,M,0
2000.33,1,PostDebut,13975,7543.32,M,0
2000.33,1,PostDebut,12172,10706.7,F,0
2000.33,1,PreDebut,17982,821.25,F,0
2000.33,1,PostDebut,10786,13140,M,0
2000.33,1,PostDebut,46,18853.2,F,0
2000.33,1,PostDebut,47,19844.1,F,0
2000.33,1,PostDebut,14048,7421.65,F,0
2000.33,1,PostDebut,14951,5961.66,F,0
2000.33,1,PostDebut,13746,7969.15,M,0
2000.33,1,PostDebut,13298,8729.57,M,0
2000.33,1,PreDebut,15821,4440.84,M,0
2000.33,1,PreDebut,17155,2190,F,0
2000.33,1,PostDebut,54,15917.4,F,0
2000.33,1,PostDebut,14468,6752.49,M,0
2000.33,1,PostDebut,56,14616.8,M,0
2000.33,1,PreDebut,17790,1125.42,M,0
2000.33,1,PostDebut,12244,10554.6,M,0
2000.33,1,PostDebut,10445,13718,M,0
2000.33,1,PreDebut,17217,2098.75,F,0
2000.33,1,PostDebut,14488,6722.07,F,0
2000.33,1,PostDebut,13188,8972.91,F,0
2000.33,1,PostDebut,63,16354.3,F,0
2000.33,1,PostDebut,11694,11527.9,M,0
2000.33,1,PostDebut,65,19703.6,F,0
2000.33,1,PostDebut,66,17616.1,M,0
2000.33,1,PreDebut,16808,2798.33,F,0
2000.33,1,PostDebut,68,16021.4,F,0
2000.33,1,PostDebut,69,17633.6,F,0
2000.33,1,PreDebut,18285,334.583,F,0
2000.33,1,PreDebut,18007,760.417,F,0
2000.33,1,PostDebut,72,16550.7,M,0
2000.33,1,PostDebut,73,15693.1,M,0
2000.33,1,PreDebut,18401,121.667,M,0
2000.33,1,PreDebut,15737,4592.92,M,0
2000.33,1,PostDebut,10765,13170.5,F,0
2000.33,1,PostDebut,11053,12622.9,M,0
2000.33,1,PostDebut,14549,6630.82,F,0
2000.33,1,PreDebut,15820,4440.84,M,0
2000.33,1,PostDebut,80,19575.7,F,0
2000.33,1,PostDebut,81,16723.8,F,0
2000.33,1,PostDebut,13626,8151.65,F,0
2000.33,1,PreDebut,15449,5049.17,M,0
2000.33,1,PreDebut,14879,6083.33,M,0
2000.33,1,PostDebut,11079,12562.1,M,0
2000.33,1,PreDebut,16271,3710.84,F,0
2000.33,1,PostDebut,15280,5353.33,F,0
2000.33,1,PostDebut,88,15422.3,F,0
2000.33,1,PostDebut,89,18574.2,F,0
2000.33,1,PostDebut,14014,7482.49,F,0
2000.33,1,PostDebut,91,19608.9,F,0
2000.33,1,PostDebut,12243,10554.6,F,0
2000.33,1,PreDebut,18340,243.333,M,0
2000.33,1,PostDebut,94,19896.3,F,0
2000.33,1,PreDebut,17139,2220.42,F,0
2000.33,1,PostDebut,14778,6265.83,F,0
2000.33,1,PreDebut,14991,5870.41,F,0
2000.33,1,PostDebut,14643,6478.74,M,0
2000.33,1,PreDebut,17476,1642.5,M,0
2000.33,1,PostDebut,12911,9459.58,F,0
2000.33,1,PostDebut,12697,9824.58,M,0
2000.33,1,PostDebut,13943,7604.15,M,0
2000.33,1,PostDebut,10207,14174.2,F,0
