Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,21,130.547,0,1,1,61,0,0,34.7736,1,1,0,0,0,1,1,0,0,0,0,78,0,1,23.5537,1,1,0,0,0,1,1,0,0,0,0,None,None
2,35,364.376,0,1,1,49,0,0,30.3613,1,1,0,0,0,1,1,0,0,0,0,73,0,1,45.7182,1,1,0,0,0,1,1,0,0,0,0,None,None
3,49,345.485,0,1,1,5,0,0,38.2612,1,1,0,0,0,1,1,0,0,0,0,39,0,1,33.933,1,1,0,0,0,1,1,0,0,0,0,None,None
4,56,96.9421,0,1,1,85,0,0,52.5825,1,1,0,0,0,1,1,0,0,0,0,67,0,1,22.4062,1,1,0,0,0,1,1,0,0,0,0,None,None
5,56,450.538,0,1,1,94,0,0,37.4942,1,1,0,0,0,1,1,0,0,0,0,12,0,1,52.2551,1,1,0,0,0,1,1,0,0,0,0,None,None
6,63,228.114,0,1,1,82,0,0,28.4722,1,1,0,0,0,1,1,0,0,0,0,41,0,1,30.1542,1,1,0,0,0,1,1,0,0,0,0,None,None
7,63,588.729,1,1,1,75,0,0,47.3021,1,0,1,0,0,1,1,0,0,0,0,37,0,1,27.6457,1,0,1,0,0,1,1,0,0,0,0,None,None
8,77,645.59,1,1,1,42,0,0,25.9022,1,0,1,0,0,1,1,0,0,0,0,79,0,1,19.6686,1,0,1,0,0,1,1,0,0,0,0,None,None
9,84,636.959,1,1,1,25,0,0,40.9902,1,0,1,0,0,1,1,0,0,0,0,87,0,1,54.9601,1,0,1,0,0,1,1,0,0,0,0,None,None
10,98,426.952,0,1,1,1,0,0,32.1029,1,1,0,0,0,1,1,0,0,0,0,23,0,1,44.0771,1,1,0,0,0,1,1,0,0,0,0,None,None
