Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = transitory 1 = informal 2 = marital),male_ID,female_ID,male_age,female_age,Termination_Reason
4,1,56,96.7536,98,0,16,75,44.9595,28.0495,BROKEUP
5,1,63,105.857,112,0,100,71,41.3961,17.5956,BROKEUP
9,1,105,282.982,140,0,32,34,22.0315,55.0173,SELF_DIED
8,1,98,169.328,175,0,27,51,20.191,39.5958,BROKEUP
2,1,42,203.251,210,0,48,35,36.1377,34.975,BROKEUP
16,1,175,209.812,210,0,59,26,53.3869,26.6838,BROKEUP
1,1,21,212.178,217,0,79,8,27.9964,32.5063,BROKEUP
15,1,161,240.184,224,0,30,21,20.9352,55.0148,SELF_DIED
6,1,77,330.077,336,0,52,18,28.3214,22.1644,BROKEUP
11,1,147,398.722,399,0,1,96,46.6686,33.4924,BROKEUP
29,1,371,466.236,469,0,57,22,19.6044,20.9626,BROKEUP
17,1,182,473.06,476,1,31,86,49.7871,26.6884,BROKEUP
24,1,301,489.057,490,0,76,8,52.6414,33.2542,BROKEUP
28,1,343,485.029,490,0,52,78,28.7433,34.7217,BROKEUP
23,1,287,495.083,497,0,48,51,36.924,40.478,BROKEUP
21,1,259,497.819,504,1,79,39,28.7827,29.3919,BROKEUP
34,1,483,502.756,504,0,59,47,54.1923,15.9149,BROKEUP
33,1,469,512.109,518,0,32,65,23.048,15.5683,BROKEUP
27,1,336,540.415,546,0,100,18,42.5851,22.7397,BROKEUP
14,1,154,585.536,588,0,6,90,54.4194,37.327,BROKEUP
35,1,497,593.455,595,0,48,22,37.1925,21.3078,BROKEUP
37,1,532,645.803,651,0,59,49,54.5951,33.3095,BROKEUP
25,1,308,659.533,665,0,98,35,34.8066,36.2215,BROKEUP
20,1,259,665.645,672,1,64,97,48.6116,33.1688,BROKEUP
3,1,42,719.3,721,1,50,87,38.9959,31.8647,BROKEUP
26,1,315,767.986,770,0,12,38,28.8692,19.6665,BROKEUP
46,1,707,945.473,798,0,59,94,55.017,16.8634,SELF_DIED
44,1,693,810.555,812,0,76,86,53.5236,27.609,BROKEUP
38,1,546,826.264,833,0,45,47,53.4652,16.8163,BROKEUP
48,1,763,833.147,840,0,79,22,29.7032,21.979,BROKEUP
42,1,616,848.613,854,0,93,51,18.2235,41.4561,BROKEUP
12,1,147,867.184,868,1,33,61,33.3306,35.9785,BROKEUP
10,1,140,883.238,889,1,9,99,19.1682,22.1358,BROKEUP
13,1,154,906.122,910,0,5,14,47.138,32.6242,BROKEUP
50,1,791,914.525,917,0,95,39,23.8305,30.5235,BROKEUP
52,1,840,951.182,952,0,1,87,48.1837,32.4976,BROKEUP
19,1,252,1038.26,966,0,17,2,43.3193,55.0154,SELF_DIED
36,1,525,967.974,973,0,53,8,23.899,34.5775,BROKEUP
30,1,413,996.236,1001,1,37,82,20.8691,40.2985,BROKEUP
45,1,693,1007.42,1008,0,52,96,30.1625,35.1609,BROKEUP
40,1,588,1027.92,1029,0,29,65,17.7285,16.9683,BROKEUP
56,1,917,1027.56,1029,1,19,61,30.8763,36.4196,BROKEUP
53,1,854,1044.88,1050,0,74,97,18.4051,34.2044,BROKEUP
39,1,581,1063.8,1064,1,30,71,23.2365,20.2038,BROKEUP
54,1,861,1094.93,1099,0,76,49,54.3099,34.5369,BROKEUP
55,1,868,1126.3,1127,0,12,35,29.8473,37.4873,BROKEUP
32,1,448,1189.37,1190,0,23,58,39.1982,47.3462,BROKEUP
7,1,84,1267.36,1274,1,7,62,53.9121,43.2427,BROKEUP
59,1,1127,1383.78,1386,1,31,87,52.2803,33.6866,BROKEUP
58,1,1057,1714.03,1393,0,45,80,55.0186,17.615,SELF_DIED
43,1,686,1440.7,1442,0,43,18,48.4865,25.1945,BROKEUP
57,1,1029,1435.99,1442,1,84,86,35.8548,29.335,BROKEUP
41,1,609,1452.15,1456,1,85,70,53.575,20.0769,BROKEUP
63,1,1372,1465.34,1470,0,64,94,50.7979,18.7045,BROKEUP
22,1,287,1537.1,1540,0,16,75,48.9102,32.0002,BROKEUP
62,1,1323,1537.87,1540,0,48,26,39.7815,30.3276,BROKEUP
70,1,1554,1641.67,1645,0,98,47,37.4915,19.041,BROKEUP
47,1,721,1653.61,1659,1,55,78,38.2255,37.9245,BROKEUP
71,1,1554,1653.04,1659,0,5,94,49.1901,19.2223,BROKEUP
18,1,231,1714.19,1715,1,10,67,34.5896,27.5671,BROKEUP
51,1,833,1751.08,1757,1,92,91,48.9699,18.7034,BROKEUP
60,1,1211,1797.86,1799,0,50,82,41.9493,42.4848,BROKEUP
69,1,1498,1798.56,1799,1,12,70,31.6884,21.0167,BROKEUP
61,1,1260,1806.54,1813,1,27,39,24.6787,32.9782,BROKEUP
64,1,1372,1806.46,1813,1,33,71,35.9197,22.2559,BROKEUP
31,1,441,5819.84,1890,2,77,44,55.0131,22.6279,SELF_DIED
74,1,1652,1891.25,1897,0,1,65,50.7727,19.3464,BROKEUP
79,1,1869,1943.36,1946,0,53,14,26.5648,35.4625,BROKEUP
78,1,1743,2181.04,1974,1,85,75,55.0134,33.2084,SELF_DIED
72,1,1589,2002.49,2009,0,95,46,26.8222,17.3232,BROKEUP
73,1,1603,2038.25,2044,0,93,26,21.4837,31.7084,BROKEUP
76,1,1680,2052.73,2058,0,60,90,26.5559,41.3544,BROKEUP
81,1,1925,2051.06,2058,0,32,49,27.2672,37.1643,BROKEUP
85,1,2030,2071.28,2072,0,52,89,33.0776,16.7315,BROKEUP
92,1,2093,2103.17,2107,0,48,99,41.3349,25.4728,BROKEUP
75,1,1666,2120.57,2121,1,79,62,33.2128,45.5633,BROKEUP
91,1,2086,2142.9,2149,0,31,70,54.3707,21.9756,BROKEUP
66,1,1470,2149,2156,1,17,35,46.5796,40.3065,BROKEUP
87,1,2037,2175.39,2177,0,19,44,34.0215,23.395,BROKEUP
93,1,2135,2194.2,2198,0,55,82,39.7022,43.5779,BROKEUP
65,1,1435,2264.67,2268,1,57,97,24.5332,37.5414,BROKEUP
86,1,2030,2264.96,2268,1,16,51,50.9047,45.3301,BROKEUP
102,1,2331,2340.47,2345,0,33,82,37.3772,43.9807,BROKEUP
84,1,2023,2347.96,2352,1,43,65,50.9796,20.5929,BROKEUP
95,1,2177,2355.38,2359,0,24,14,19.2477,36.594,BROKEUP
103,1,2338,2366.72,2373,0,50,44,43.5219,23.932,BROKEUP
90,1,2065,2399.66,2401,0,28,90,19.4097,42.2941,BROKEUP
77,1,1694,2419.4,2422,1,23,78,42.5736,40.0149,BROKEUP
101,1,2317,2452.48,2457,0,5,26,51.3764,32.8399,BROKEUP
94,1,2142,2463.24,2464,1,10,75,36.6416,34.5317,BROKEUP
99,1,2310,2462.06,2464,0,98,87,39.7354,36.64,BROKEUP
83,1,2002,2465.88,2471,1,84,67,38.674,29.6384,BROKEUP
80,1,1876,2543.66,2548,0,37,18,25.1075,28.2246,BROKEUP
88,1,2058,2585.38,2590,0,9,86,23.8284,32.4802,BROKEUP
110,1,2541,2589.77,2590,0,93,89,22.9796,18.1507,BROKEUP
108,1,2478,2612.66,2618,1,17,90,47.8454,42.8886,BROKEUP
100,1,2310,2658.57,2660,1,95,47,28.6058,21.8218,BROKEUP
111,1,2611,2729.04,2730,0,48,89,43.0418,18.5342,BROKEUP
112,1,2660,2727.13,2730,0,79,67,34.8813,30.3479,BROKEUP
82,1,1967,2743.66,2744,0,74,8,23.0462,39.4296,BROKEUP
109,1,2485,2813.87,2814,0,32,65,29.3384,21.8587,BROKEUP
89,1,2065,2823.04,2828,0,30,80,28.0694,21.5465,BROKEUP
106,1,2443,2873.4,2877,0,53,35,29.1155,42.2818,BROKEUP
116,1,2821,2906.86,2912,0,57,18,26.2976,29.2219,BROKEUP
115,1,2800,2949.49,2954,0,33,82,39.0457,45.6492,BROKEUP
121,1,2940,2950.55,2954,0,5,69,52.738,16.5709,BROKEUP
118,1,2877,2995.63,2996,0,50,89,45.2287,19.263,BROKEUP
68,1,1477,15518.7,3003,2,64,83,55.0171,37.2309,SELF_DIED
120,1,2891,3003.61,3010,0,23,26,44.1845,34.355,BROKEUP
104,1,2415,3071.75,3073,0,1,39,53.9946,36.4303,BROKEUP
119,1,2884,3073.73,3080,0,19,87,36.4955,38.3277,BROKEUP
96,1,2212,3081.38,3087,0,27,70,28.1691,24.5454,BROKEUP
125,1,3003,3166.95,3171,0,37,36,26.8143,13.5572,BROKEUP
130,1,3164,3170.08,3171,0,32,70,30.3165,24.7756,BROKEUP
128,1,3017,3190.82,3192,0,93,69,24.6289,17.2229,BROKEUP
122,1,2954,3210.53,3213,0,9,47,25.5353,23.3369,BROKEUP
114,1,2688,3250.61,3255,1,24,78,21.7025,42.2971,BROKEUP
67,1,1477,3269.32,3276,1,29,96,23.8846,41.3746,BROKEUP
124,1,2996,3279.68,3283,0,10,82,38.8855,46.5505,BROKEUP
117,1,2842,3285.38,3290,1,43,86,53.5495,34.398,BROKEUP
133,1,3220,3297.17,3304,0,53,18,30.2853,30.2959,BROKEUP
123,1,2982,3320.67,3325,0,17,46,49.7824,20.9287,BROKEUP
131,1,3171,3318.13,3325,0,16,26,53.8006,35.218,BROKEUP
126,1,3003,3345.62,3346,0,98,80,42.1518,22.9657,BROKEUP
140,1,3325,3340.68,3346,0,50,87,46.1876,39.0565,BROKEUP
137,1,3290,3357.21,3360,1,84,63,41.1096,14.1783,BROKEUP
105,1,2429,3428.2,3430,1,60,99,30.3148,29.0975,BROKEUP
132,1,3178,3433.65,3437,0,57,70,27.7359,25.5043,BROKEUP
134,1,3248,3561.04,3437,0,1,83,55.0111,38.42,SELF_DIED
141,1,3353,3448,3451,0,66,46,17.8846,21.2739,BROKEUP
135,1,3255,3514.22,3521,1,28,8,22.4781,41.5584,BROKEUP
138,1,3304,3558.25,3563,0,32,89,31.3905,20.8164,BROKEUP
129,1,3066,3594.22,3598,0,41,91,18.6053,23.7472,BROKEUP
107,1,2464,3612.48,3619,1,52,58,37.3159,54.001,BROKEUP
98,1,2303,3658.11,3661,1,12,62,36.7898,49.7824,BROKEUP
143,1,3381,3670.01,3675,1,48,26,45.6308,36.1769,BROKEUP
148,1,3542,3676.47,3682,0,29,36,24.997,14.9572,BROKEUP
146,1,3465,3705.4,3710,1,5,81,54.8092,16.1496,BROKEUP
152,1,3661,3744.45,3745,0,84,65,42.1644,24.4094,BROKEUP
139,1,3318,3768.38,3773,1,95,51,31.6551,49.4534,BROKEUP
151,1,3640,3876.48,3815,0,43,87,55.007,40.3414,SELF_DIED
97,1,2268,3962.01,3955,1,92,49,55.011,42.3807,SELF_DIED
155,1,3724,4260.92,3983,0,53,58,32.1648,55.0175,SELF_DIED
113,1,2688,3998.81,4004,0,55,90,44.6501,46.6859,BROKEUP
161,1,3885,3998.66,4004,0,57,36,29.2893,15.8394,BROKEUP
136,1,3290,4028.69,4032,0,27,39,30.7582,39.0577,BROKEUP
147,1,3479,4080.69,4081,0,93,47,27.0646,25.7149,BROKEUP
145,1,3423,4082.05,4088,1,33,14,42.1526,41.331,BROKEUP
157,1,3829,4099.7,4102,0,37,86,29.365,36.6227,BROKEUP
158,1,3850,4120.1,4123,0,66,62,19.7257,51.0482,BROKEUP
166,1,4074,4153.62,4158,0,95,90,32.7099,47.1078,BROKEUP
162,1,3962,4203.44,4207,0,28,87,24.3576,41.4154,BROKEUP
159,1,3850,4208.36,4214,1,24,83,24.3299,40.5487,BROKEUP
163,1,3976,4212.82,4214,0,52,18,38.9461,32.789,BROKEUP
169,1,4179,4250.64,4256,0,93,4,27.544,18.4912,BROKEUP
127,1,3017,4262.52,4263,0,79,35,39.0813,46.0791,BROKEUP
154,1,3703,4260.58,4263,1,19,96,39.7366,44.0787,BROKEUP
160,1,3850,4267.69,4270,1,10,91,41.5896,25.5883,BROKEUP
174,1,4256,4277.13,4284,0,55,68,45.4172,15.7977,BROKEUP
153,1,3703,4290.21,4291,0,17,99,52.4289,31.4564,BROKEUP
156,1,3808,4415.05,4417,0,98,26,45.0861,38.2098,BROKEUP
176,1,4298,4437.21,4438,0,27,4,31.8705,18.9898,BROKEUP
165,1,4011,4458.2,4459,0,84,82,44.1206,49.7725,BROKEUP
144,1,3381,4463.19,4466,1,30,63,32.5571,17.2085,BROKEUP
172,1,4235,4489.44,4494,1,41,36,21.0601,17.1818,BROKEUP
178,1,4319,4508.89,4515,0,66,90,20.7997,48.0859,BROKEUP
175,1,4284,4522.32,4529,0,72,83,17.9192,41.4117,BROKEUP
149,1,3549,4590.02,4592,1,74,46,28.1092,24.3999,BROKEUP
187,1,4550,4646.95,4648,0,24,70,25.5189,28.8221,BROKEUP
171,1,4193,4672.68,4676,1,32,89,34.4398,23.8657,BROKEUP
150,1,3612,4695.51,4697,1,23,78,48.8065,46.2478,BROKEUP
184,1,4431,4694.24,4697,0,33,81,43.8211,18.8537,BROKEUP
185,1,4445,4703.52,4704,0,28,26,25.7192,38.9961,BROKEUP
177,1,4298,4727.62,4732,1,29,71,27.8737,30.2531,BROKEUP
173,1,4249,4825.19,4830,1,12,18,39.9925,34.4767,BROKEUP
191,1,4634,4834.75,4837,1,72,83,18.763,42.2556,BROKEUP
192,1,4697,4932.11,4935,0,25,82,19.5794,51.0766,BROKEUP
168,1,4158,4963.94,4970,1,60,14,34.534,43.7475,BROKEUP
164,1,3990,4982.57,4984,0,48,69,49.2171,22.1325,BROKEUP
188,1,4557,4981.99,4984,1,55,47,47.335,28.1889,BROKEUP
186,1,4466,4997.35,4998,0,79,87,41.095,43.5825,BROKEUP
182,1,4368,5041.7,5047,0,95,49,35.1455,45.3534,BROKEUP
203,1,5033,5041.55,5047,0,66,47,22.2572,28.3615,BROKEUP
190,1,4585,5071.2,5075,1,30,68,34.2256,17.9648,BROKEUP
49,1,763,6850.04,5075,2,100,42,55.0125,49.7651,SELF_DIED
195,1,4802,5107.99,5110,0,52,62,41.4009,53.7523,BROKEUP
179,1,4319,5126.3,5131,1,53,94,35.2908,28.7346,BROKEUP
193,1,4704,5141.39,5145,0,10,51,43.9868,53.2123,BROKEUP
167,1,4137,5200.68,5201,0,57,39,32.5688,42.2604,BROKEUP
212,1,5187,5204.05,5208,0,28,36,27.1001,19.138,BROKEUP
189,1,4578,5228.38,5229,1,17,35,54.9988,48.7256,BROKEUP
