Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
6,1960.52,1,1,1,0,F,2,9,MALE,FEMALE,47.3764,44.3697,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
6,1960.52,1,2,12,0,F,2,7,MALE,FEMALE,47.3764,42.583,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
6,1960.52,1,3,2,0,F,4,11,MALE,FEMALE,31.1677,47.954,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
6,1960.52,1,4,8,0,F,5,6,MALE,FEMALE,48.8804,17.2554,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
6,1960.52,1,5,9,0,F,5,13,MALE,FEMALE,48.8804,40.5164,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
6,1960.52,1,6,3,0,F,8,11,MALE,FEMALE,39.0997,47.954,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
6,1960.52,1,7,10,0,F,8,13,MALE,FEMALE,39.0997,40.5164,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
6,1960.52,1,8,4,0,F,15,11,MALE,FEMALE,20.7069,47.954,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
6,1960.52,1,9,11,0,F,15,13,MALE,FEMALE,20.7069,40.5164,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
6,1960.52,1,10,5,0,F,17,14,MALE,FEMALE,33.3665,28.4443,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
6,1960.52,1,11,7,0,F,21,14,MALE,FEMALE,25.2192,28.4443,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
7,1960.52,1,12,1,0,F,2,9,MALE,FEMALE,47.3792,44.3725,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
9,1960.52,1,13,12,0,F,2,7,MALE,FEMALE,47.3846,42.5912,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
9,1960.52,1,14,9,0,F,5,13,MALE,FEMALE,48.8886,40.5246,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
9,1960.52,1,15,10,0,F,8,13,MALE,FEMALE,39.1079,40.5246,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
9,1960.52,1,16,5,0,F,17,14,MALE,FEMALE,33.3747,28.4526,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
10,1960.53,1,17,4,0,F,15,11,MALE,FEMALE,20.7179,47.9649,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
10,1960.53,1,18,5,0,F,17,14,MALE,FEMALE,33.3775,28.4553,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
11,1960.53,1,19,9,0,F,5,13,MALE,FEMALE,48.8941,40.5301,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
11,1960.53,1,20,11,0,F,15,13,MALE,FEMALE,20.7206,40.5301,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
13,1960.54,1,21,12,0,F,2,7,MALE,FEMALE,47.3956,42.6021,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
14,1960.54,1,22,1,0,F,2,9,MALE,FEMALE,47.3983,44.3917,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
14,1960.54,1,23,8,0,F,5,6,MALE,FEMALE,48.9023,17.2773,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
