Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a0,0,0,0,0,9089,0,0,0
4,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
5,340461476,X-a0:X-a0,3948,1920,0,2028,0,0,0,0
5,340461476,X-a0:Y-a0,0,0,0,0,8234,0,0,0
5,340461476,X-a0:X-a1,0,0,0,0,0,0,0,450200
5,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,450200
5,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
5,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
6,340461476,X-a0:X-a0,3568,1721,0,1847,0,0,0,0
6,340461476,X-a0:Y-a0,0,0,0,0,7410,0,0,0
6,340461476,X-a0:X-a1,0,0,0,0,0,0,27556,0
6,340461476,X-a0:Y-a1,0,0,0,0,0,0,27434,0
6,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
6,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
7,340461476,X-a0:X-a0,3253,1565,0,1688,0,0,0,0
7,340461476,X-a0:Y-a0,0,0,0,0,6702,0,0,0
7,340461476,X-a0:X-a1,0,0,0,0,0,0,24920,0
7,340461476,X-a0:Y-a1,0,0,0,0,0,0,24915,0
7,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
7,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
8,340461476,X-a0:X-a0,2544,1187,0,1357,0,0,0,0
8,340461476,X-a0:Y-a0,0,0,0,0,6056,0,0,0
8,340461476,X-a0:X-a1,0,0,0,0,0,0,22569,292900
8,340461476,X-a0:Y-a1,0,0,0,0,0,0,22469,292900
8,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
8,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
9,340461476,X-a0:X-a0,2304,1070,0,1234,0,0,0,0
9,340461476,X-a0:Y-a0,0,0,0,0,5478,0,0,0
9,340461476,X-a0:X-a1,0,0,0,0,0,0,31190,0
