Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186779,1,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264036,1,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332206,1,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392358,1,0,0,0
4,340461476,1000,0,0,0,0,9089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445435,1,0,0,0
5,340461476,1000,3948,1920,0,2028,8234,0,0,900400,4502,3948,0,3948,4502,0,0,450200,4502,1119,0,0,5000,0,498,554,0,0,0,3948,0,0,0,0,0,492269,1,1119,1117,2
6,340461476,1000,3568,1721,0,1847,7410,0,491656,0,0,0,3568,3568,0,0,0,0,0,0,0,0,0,0,380,0,0,0,3568,0,0,0,0,0,0,41938.6,0.546722,0,0,0
7,340461476,1000,3253,1565,0,1688,6702,0,445112,0,0,0,3253,3253,0,0,0,0,0,0,0,0,0,0,315,0,0,3253,0,0,0,0,0,0,0,124948,1,0,0,0
8,340461476,1000,2544,1187,0,1357,6056,0,402593,585800,2929,2544,0,2544,2929,0,0,292900,2929,720,0,0,0,0,324,385,0,0,0,2544,0,0,0,0,0,199643,1,720,749,-29
9,340461476,1000,2304,1070,0,1234,5478,0,563689,0,0,0,2304,2304,0,0,0,0,0,0,0,0,0,0,240,0,0,0,2304,0,0,0,0,0,0,66938.6,0.340804,0,0,0
10,340461476,1000,2086,971,0,1115,4915,0,510108,0,0,0,2086,2086,0,0,0,0,0,0,0,0,0,0,218,0,0,2086,0,0,0,0,0,0,0,145572,1,0,0,0
11,340461476,1000,1658,743,0,915,4393,0,461480,377600,1888,1658,0,1658,1888,0,0,188800,1888,445,0,0,0,0,198,230,0,0,0,1658,0,0,0,0,0,216306,1,445,414,31
