Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20753.3,1,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29337.3,1,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36911.8,1,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43595.3,1,0,0,0
4,340461476,1000,0,0,0,0,9089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49492.7,1,0,0,0
5,340461476,1000,3994,1950,0,2044,8289,0,0,900200,4501,3994,0,3994,4501,0,0,450100,4501,1102,0,0,5000,0,499,507,0,0,0,3994,0,0,0,0,0,0,0,54696.5,1,1102,1150,-48
6,340461476,1000,3609,1767,0,1842,7518,0,54875,0,0,0,3609,3609,0,0,0,0,0,0,0,0,0,0,385,0,0,0,3609,0,0,0,0,0,0,0,0,4413.29,0.0607604,0,0,0
7,340461476,1000,3275,1597,0,1678,6782,0,49585,0,0,0,3275,3275,0,0,0,0,0,0,0,0,0,0,334,0,0,3275,0,0,0,0,0,0,0,0,0,13755,1,0,0,0
8,340461476,1000,2584,1208,0,1376,6106,0,44838,591400,2957,2584,0,2584,2957,0,0,295700,2957,722,0,0,0,0,318,373,0,0,0,2584,0,0,0,0,0,0,0,22077.1,1,722,730,-8
9,340461476,1000,2351,1101,0,1250,5510,0,62788,0,0,0,2351,2351,0,0,0,0,0,0,0,0,0,0,233,0,0,0,2351,0,0,0,0,0,0,0,0,7281.73,0.0373302,0,0,0
