Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,100,100000,100000,0,0,100000,0,1000,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,100,992,992,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,100,99008,99008,0,0,100000,0,990,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,100,1932,1932,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,100,98068,98068,0,0,100000,0,980,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,100,2932,2932,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,100,97068,97068,0,0,100000,0,970,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2,100,3883,3883,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,100,96117,96117,0,0,100000,0,961,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2,100,4846,4846,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,100,95154,95154,0,0,100000,0,951,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2,100,5830,5830,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,100,94170,94170,0,0,100000,0,941,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2,100,6752,6752,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,100,93248,93248,0,0,100000,0,932,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2,100,7739,7739,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,100,92261,92261,0,0,100000,0,922,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2,100,8666,8666,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,100,91334,91334,0,0,100000,0,913,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2,100,9595,9595,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,100,90405,90405,0,0,100000,0,904,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2,100,10512,10512,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,100,89488,89488,0,0,100000,0,894,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2,100,11396,11396,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,100,88604,88604,0,0,100000,0,886,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2,100,12280,12280,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,100,87720,87720,0,0,100000,0,877,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2,100,13135,13135,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,100,86865,86865,0,0,100000,0,868,0,0,0,0,0,1,0,0,0,0,0,0,0
