Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0:X-a0,2199,0,0,2199,0,0,73350
0,1,X-a0:X-a1,2140,0,0,2140,0,0,75550
0,1,X-a1:X-a0,2186,0,0,2186,0,0,73300
0,1,X-a1:X-a1,2189,0,0,2189,0,0,75400
1,1,X-a0:X-a0,1895,0,0,1895,0,73350,67975
1,1,X-a0:X-a1,1839,0,0,1839,0,75550,67425
1,1,X-a1:X-a0,1828,0,0,1828,0,73300,68125
1,1,X-a1:X-a1,1899,0,0,1899,0,75400,67575
2,1,X-a0:X-a0,1639,0,0,1639,0,134402,58450
2,1,X-a0:X-a1,1587,0,0,1587,0,135833,59000
2,1,X-a1:X-a0,1584,0,0,1584,0,134448,60150
2,1,X-a1:X-a1,1627,0,0,1627,0,135898,58900
3,1,X-a0:X-a0,1408,0,0,1408,0,180223,45425
3,1,X-a0:X-a1,1366,0,0,1366,0,181933,48425
3,1,X-a1:X-a0,1374,0,0,1374,0,181798,44625
3,1,X-a1:X-a1,1398,0,0,1398,0,182152,46325
4,1,X-a0:X-a0,1183,0,0,1183,0,208555,42850
4,1,X-a0:X-a1,1167,0,0,1167,0,212932,42150
4,1,X-a1:X-a0,1184,0,0,1184,0,209152,42300
4,1,X-a1:X-a1,1201,0,0,1201,0,211168,43100
5,1,X-a0:X-a0,1010,0,0,1010,0,231649,37050
5,1,X-a0:X-a1,1003,0,0,1003,0,234991,38400
5,1,X-a1:X-a0,1017,0,0,1017,0,231456,38900
5,1,X-a1:X-a1,1012,0,0,1012,0,234197,38850
6,1,X-a0:X-a0,864,0,0,864,0,246655,26450
6,1,X-a0:X-a1,860,0,0,860,0,251079,30050
6,1,X-a1:X-a0,883,0,0,883,0,248596,27450
6,1,X-a1:X-a1,868,0,0,868,0,250812,28650
7,1,X-a0:X-a0,734,0,0,734,0,249634,26725
7,1,X-a0:X-a1,734,0,0,734,0,257554,27025
7,1,X-a1:X-a0,740,0,0,740,0,252170,25375
7,1,X-a1:X-a1,725,0,0,725,0,255570,25875
8,1,X-a0:X-a0,616,0,0,616,0,252588,22075
8,1,X-a0:X-a1,608,0,0,608,0,260058,24575
8,1,X-a1:X-a0,632,0,0,632,0,253724,23125
8,1,X-a1:X-a1,610,0,0,610,0,256889,23925
9,1,X-a0:X-a0,517,0,0,517,0,250527,16425
9,1,X-a0:X-a1,512,0,0,512,0,259910,17625
9,1,X-a1:X-a0,515,0,0,515,0,252811,16025
9,1,X-a1:X-a1,513,0,0,513,0,256485,17125
10,1,X-a0:X-a0,443,0,0,443,0,243193,15700
10,1,X-a0:X-a1,434,0,0,434,0,253021,15200
10,1,X-a1:X-a0,421,0,0,421,0,244529,16000
10,1,X-a1:X-a1,444,0,0,444,0,249147,16100
11,1,X-a0:X-a0,352,0,0,352,0,235836,13350
11,1,X-a0:X-a1,358,0,0,358,0,244258,14350
11,1,X-a1:X-a0,349,0,0,349,0,236855,13600
11,1,X-a1:X-a1,356,0,0,356,0,241189,13500
12,1,X-a0:X-a0,298,0,0,298,0,226647,9200
12,1,X-a0:X-a1,290,0,0,290,0,235133,9150
12,1,X-a1:X-a0,295,0,0,295,0,227689,8600
12,1,X-a1:X-a1,296,0,0,296,0,231727,9150
13,1,X-a0:X-a0,247,0,0,247,0,214134,8725
13,1,X-a0:X-a1,235,0,0,235,0,221852,8825
13,1,X-a1:X-a0,238,0,0,238,0,214758,9425
13,1,X-a1:X-a1,245,0,0,245,0,218704,8625
14,1,X-a0:X-a0,203,0,0,203,0,202666,7725
14,1,X-a0:X-a1,190,0,0,190,0,209437,8125
14,1,X-a1:X-a0,191,0,0,191,0,203791,8025
14,1,X-a1:X-a1,201,0,0,201,0,206477,7825
15,1,X-a0:X-a0,166,0,0,166,0,190997,5075
15,1,X-a0:X-a1,157,0,0,157,0,197770,4575
15,1,X-a1:X-a0,161,0,0,161,0,192410,4625
15,1,X-a1:X-a1,160,0,0,160,0,194670,4725
16,1,X-a0:X-a0,128,0,0,128,0,177938,4950
16,1,X-a0:X-a1,117,0,0,117,0,183386,4450
16,1,X-a1:X-a0,139,0,0,139,0,178628,4750
16,1,X-a1:X-a1,128,0,0,128,0,181115,4550
17,1,X-a0:X-a0,102,0,0,102,0,165808,4725
17,1,X-a0:X-a1,95,0,0,95,0,170276,4675
17,1,X-a1:X-a0,113,0,0,113,0,166248,4875
17,1,X-a1:X-a1,115,0,0,115,0,168329,4725
18,1,X-a0:X-a0,75,0,0,75,13453,141208,2250
18,1,X-a0:X-a1,72,0,0,72,13635,145174,1950
18,1,X-a1:X-a0,98,0,0,98,13325,141767,1800
18,1,X-a1:X-a1,93,0,0,93,13791,143344,2200
19,1,X-a0:X-a0,55,0,0,55,24614,117539,2075
19,1,X-a0:X-a1,58,0,0,58,24499,120992,2075
19,1,X-a1:X-a0,76,0,0,76,24465,117717,2575
19,1,X-a1:X-a1,67,0,0,67,24937,119443,2175
20,1,X-a0:X-a0,44,0,0,44,33021,97741,2425
20,1,X-a0:X-a1,42,0,0,42,32987,100501,2425
20,1,X-a1:X-a0,61,0,0,61,33034,98262,2625
20,1,X-a1:X-a1,51,0,0,51,33183,99580,2625
21,1,X-a0:X-a0,29,0,0,29,38073,82657,950
21,1,X-a0:X-a1,29,0,0,29,38594,84727,600
21,1,X-a1:X-a0,47,0,0,47,38037,83309,800
21,1,X-a1:X-a1,39,0,0,39,38694,84109,950
22,1,X-a0:X-a0,8986,0,0,8986,33276,68063,1025
22,1,X-a0:X-a1,9092,0,0,9092,33800,69560,475
22,1,X-a1:X-a0,8985,0,0,8985,33223,68409,1275
22,1,X-a1:X-a1,9273,0,0,9273,33829,69113,725
