Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0:X-a0,8736,0,0,8736,0,0,288000
0,1,X-a0:X-a1,0,0,0,0,0,0,0
0,1,X-a1:X-a0,0,0,0,0,0,0,0
0,1,X-a1:X-a1,0,0,0,0,0,0,0
1,1,X-a0:X-a0,7539,0,0,7539,0,189654,271000
1,1,X-a0:X-a1,0,0,0,0,0,0,0
1,1,X-a1:X-a0,0,0,0,0,0,0,0
1,1,X-a1:X-a1,0,0,0,0,0,0,0
2,1,X-a0:X-a0,6520,0,0,6520,0,254076,247800
2,1,X-a0:X-a1,0,0,0,0,0,0,0
2,1,X-a1:X-a0,0,0,0,0,0,0,0
2,1,X-a1:X-a1,0,0,0,0,0,0,0
3,1,X-a0:X-a0,5637,0,0,5637,0,323472,179300
3,1,X-a0:X-a1,0,0,0,0,0,0,0
3,1,X-a1:X-a0,0,0,0,0,0,0,0
3,1,X-a1:X-a1,0,0,0,0,0,0,0
4,1,X-a0:X-a0,4796,0,0,4796,0,386300,170900
4,1,X-a0:X-a1,0,0,0,0,0,0,0
4,1,X-a1:X-a0,0,0,0,0,0,0,0
4,1,X-a1:X-a1,0,0,0,0,0,0,0
5,1,X-a0:X-a0,4114,0,0,4114,0,443488,160900
5,1,X-a0:X-a1,0,0,0,0,0,0,0
5,1,X-a1:X-a0,0,0,0,0,0,0,0
5,1,X-a1:X-a1,0,0,0,0,0,0,0
6,1,X-a0:X-a0,3528,0,0,3528,0,495092,112300
6,1,X-a0:X-a1,0,0,0,0,0,0,0
6,1,X-a1:X-a0,0,0,0,0,0,0,0
6,1,X-a1:X-a1,0,0,0,0,0,0,0
7,1,X-a0:X-a0,2975,0,0,2975,0,542566,106800
7,1,X-a0:X-a1,0,0,0,0,0,0,0
7,1,X-a1:X-a0,0,0,0,0,0,0,0
7,1,X-a1:X-a1,0,0,0,0,0,0,0
8,1,X-a0:X-a0,2474,0,0,2474,0,585967,100200
8,1,X-a0:X-a1,0,0,0,0,0,0,0
8,1,X-a1:X-a0,0,0,0,0,0,0,0
8,1,X-a1:X-a1,0,0,0,0,0,0,0
9,1,X-a0:X-a0,2068,0,0,2068,0,625879,63000
9,1,X-a0:X-a1,0,0,0,0,0,0,0
9,1,X-a1:X-a0,0,0,0,0,0,0,0
9,1,X-a1:X-a1,0,0,0,0,0,0,0
10,1,X-a0:X-a0,1751,0,0,1751,0,628923,61900
10,1,X-a0:X-a1,0,0,0,0,0,0,0
10,1,X-a1:X-a0,0,0,0,0,0,0,0
10,1,X-a1:X-a1,0,0,0,0,0,0,0
11,1,X-a0:X-a0,1410,0,0,1410,0,631105,61000
11,1,X-a0:X-a1,0,0,0,0,0,0,0
11,1,X-a1:X-a0,0,0,0,0,0,0,0
11,1,X-a1:X-a1,0,0,0,0,0,0,0
12,1,X-a0:X-a0,1191,0,0,1191,0,632471,33500
12,1,X-a0:X-a1,0,0,0,0,0,0,0
12,1,X-a1:X-a0,0,0,0,0,0,0,0
12,1,X-a1:X-a1,0,0,0,0,0,0,0
13,1,X-a0:X-a0,990,0,0,990,0,605813,36000
13,1,X-a0:X-a1,0,0,0,0,0,0,0
13,1,X-a1:X-a0,0,0,0,0,0,0,0
13,1,X-a1:X-a1,0,0,0,0,0,0,0
14,1,X-a0:X-a0,788,0,0,788,0,584503,35300
14,1,X-a0:X-a1,0,0,0,0,0,0,0
14,1,X-a1:X-a0,0,0,0,0,0,0,0
14,1,X-a1:X-a1,0,0,0,0,0,0,0
15,1,X-a0:X-a0,638,0,0,638,0,564319,17700
15,1,X-a0:X-a1,0,0,0,0,0,0,0
15,1,X-a1:X-a0,0,0,0,0,0,0,0
15,1,X-a1:X-a1,0,0,0,0,0,0,0
16,1,X-a0:X-a0,495,0,0,495,0,528434,17600
16,1,X-a0:X-a1,0,0,0,0,0,0,0
16,1,X-a1:X-a0,0,0,0,0,0,0,0
16,1,X-a1:X-a1,0,0,0,0,0,0,0
17,1,X-a0:X-a0,413,0,0,413,0,495790,17000
17,1,X-a0:X-a1,0,0,0,0,0,0,0
17,1,X-a1:X-a0,0,0,0,0,0,0,0
17,1,X-a1:X-a1,0,0,0,0,0,0,0
